z,vT
5.0,-0.004971976201335939
15.0,-0.008496999483176202
25.0,-0.009195458369983957
35.0,-0.008694928703719136
45.0,-0.007746980112651927
55.0,-0.006867191452706717
65.0,-0.006127949863204712
75.0,-0.005552791562488674
85.0,-0.005092947801779802
95.0,-0.004707637369156825
105.0,-0.004389763020192848
115.0,-0.0041198571327574676
125.0,-0.003879522439583793
135.0,-0.003665448165607426
145.0,-0.003481651835216596
155.0,-0.003314694748651354
165.0,-0.0031646653662863846
175.0,-0.0030388918498712803
185.0,-0.002925037174749717
195.0,-0.0028162905595996326
205.0,-0.0027206522651763007
215.0,-0.002629664278056392
225.0,-0.002532382683663761
235.0,-0.0024342063572773557
245.0,-0.0023304405532007418
255.0,-0.0022189829479252908
265.0,-0.0021091927604178417
275.0,-0.002007840921858768
285.0,-0.001921856363093638
295.0,-0.001845478100424173
305.0,-0.0017668882423370386
315.0,-0.0016892271523200472
325.0,-0.0016164837534270687
335.0,-0.0015452346575863217
345.0,-0.0014738282825592333
355.0,-0.0014039575253266782
365.0,-0.0013362610677066478
375.0,-0.0012664410433735208
385.0,-0.00119197580630486
395.0,-0.001120364206722931
405.0,-0.0010512432004653727
415.0,-0.000984161311472742
425.0,-0.0009192758326330148
435.0,-0.0008495722241876048
445.0,-0.0007758071647612168
455.0,-0.0006994326819935216
465.0,-0.0006187280496199051
475.0,-0.000538279784441008
485.0,-0.00045755674196358174
495.0,-0.00037960221067865826
505.0,-0.00031056879204776613
515.0,-0.00024797144160787824
525.0,-0.000187040301753713
535.0,-0.0001266019334279024
545.0,-7.142624987440157e-05
555.0,-2.2390293595447244e-05
565.0,2.431893280781705e-05
575.0,7.098661119220788e-05
585.0,0.0001022925069370286
595.0,0.000118384879570074
605.0,0.00013294934974981328
615.0,0.00015608612133086684
625.0,0.00017450086864459298
635.0,0.00016562081057087618
645.0,0.00011324682999930276
655.0,1.3165711186433964e-05
665.0,-0.00010480219593220434
675.0,-0.00029264963467394173
685.0,-0.0005715117059302758
695.0,-0.0008765407469238519
705.0,-0.0010963272541322764
715.0,-0.0012294603031295314
725.0,-0.0014428489601881578
735.0,-0.0025107163689192854
745.0,-0.006467922991550612
755.0,-0.016915655573716427
765.0,-0.03691201220184555
775.0,-0.06222754762441028
785.0,-0.0743303166766559
795.0,-0.058764037168965354
805.0,-0.02790836823471834
815.0,-0.0040569479569140315
825.0,0.005671004217771575
835.0,0.005100634046716283
845.0,0.0012265963050165092
855.0,-0.001024482300817266
865.0,-0.0009296158016326544
875.0,-0.00031287337061695414
885.0,-0.0001012003112711374
895.0,-7.683597329557912e-05
905.0,-7.922796379031992e-05
915.0,-7.252945001051606e-05
925.0,-5.8545399966311606e-05
935.0,-4.6624279803507335e-05
945.0,-3.9934187289628075e-05
955.0,-3.596984816060524e-05
965.0,-3.242551489300703e-05
975.0,-2.8867759916111238e-05
985.0,-2.5464713748784697e-05
995.0,-2.203762419425601e-05
1005.0,-1.8370502745347792e-05
1015.0,-1.4701185293217529e-05
1025.0,-1.1580156298876374e-05
1035.0,-9.325569388510807e-06
1045.0,-7.71970199825442e-06
1055.0,-6.279476720899883e-06
1065.0,-4.5957821318572894e-06
1075.0,-2.5360870317809024e-06
1085.0,-3.372104580225798e-07
1095.0,1.4722272311151186e-06
1105.0,2.3803748091677156e-06
1115.0,2.1097864300355536e-06
1125.0,6.969206516381608e-07
1135.0,-1.5387854433448837e-06
1145.0,-4.113418288136708e-06
1155.0,-6.516322405992275e-06
1165.0,-8.258125852288915e-06
1175.0,-9.029235870610578e-06
1185.0,-8.779228847315847e-06
1195.0,-7.666048773683003e-06
1205.0,-5.995528750874775e-06
1215.0,-4.132681271311898e-06
1225.0,-2.36623028189985e-06
1235.0,-8.595542027288241e-07
1245.0,3.186946140721282e-07
1255.0,1.140817182948936e-06
1265.0,1.588761614441405e-06
1275.0,1.6495786139352979e-06
1285.0,1.3346344754962488e-06
1295.0,6.501636414384422e-07
1305.0,-4.251900375570067e-07
1315.0,-1.9775302469379847e-06
1325.0,-4.082289150552416e-06
1335.0,-6.745084161772783e-06
1345.0,-9.845335312489829e-06
1355.0,-1.3205812413687604e-05
1365.0,-1.6651556531884285e-05
1375.0,-2.0080644664437078e-05
1385.0,-2.341764532743988e-05
1395.0,-2.6604395903296557e-05
1405.0,-2.9566886684059463e-05
1415.0,-3.226161434430696e-05
1425.0,-3.466232675697437e-05
1435.0,-3.6769843804842276e-05
1445.0,-3.8566120591214873e-05
1455.0,-4.001833569792412e-05
1465.0,-4.10811298350554e-05
1475.0,-4.176057175465447e-05
1485.0,-4.2116438314010224e-05
1495.0,-4.224769610061291e-05
1505.0,-4.223103841128532e-05
1515.0,-4.211668836119258e-05
1525.0,-4.1909441757811024e-05
1535.0,-4.1574967113815286e-05
1545.0,-4.1032870262134054e-05
1555.0,-4.019319293483828e-05
1565.0,-3.8962357524494626e-05
1575.0,-3.7228357153236995e-05
1585.0,-3.480820541519109e-05
1595.0,-3.142307327072373e-05
1605.0,-2.671707096112796e-05
1615.0,-2.033567322459493e-05
1625.0,-1.2031819854967397e-05
1635.0,-1.737226891424073e-06
1645.0,1.0431967409865849e-05
1655.0,2.4219490695550768e-05
1665.0,3.9283348853123556e-05
1675.0,5.524199409405767e-05
1685.0,7.170383099870808e-05
1695.0,8.826447778792548e-05
1705.0,0.00010450146119907273
1715.0,0.0001199628454872052
1725.0,0.00013418186529798833
1735.0,0.00014667438167538695
1745.0,0.00015696307762943194
1755.0,0.0001645995529709327
1765.0,0.0001691919233829872
1775.0,0.00017041702385626258
1785.0,0.00016806874089505137
1795.0,0.0001621105804770238
1805.0,0.0001527513509398656
1815.0,0.00014043771940452397
1825.0,0.00012587733409529363
1835.0,0.00010995197998949754
1845.0,9.358303487801434e-05
1855.0,7.745900434692801e-05
1865.0,6.204118172014349e-05
1875.0,4.782727345541382e-05
1885.0,3.545409385815068e-05
1895.0,2.48297456665837e-05
1905.0,1.4289995620638139e-05
1915.0,4.600211332331575e-06
