z,uT
5.0,-0.009286912173255236
15.0,-0.016440710188705437
25.0,-0.01874964481401777
35.0,-0.01851931595857276
45.0,-0.017156897891430715
55.0,-0.015701566786177602
65.0,-0.01441408353190484
75.0,-0.013317275704134428
85.0,-0.012376406339590005
95.0,-0.011572814872931237
105.0,-0.010868330446809923
115.0,-0.010264517763624583
125.0,-0.009758602318988258
135.0,-0.009308214397358428
145.0,-0.008907704061684564
155.0,-0.008549199267435477
165.0,-0.008221940947141607
175.0,-0.007916127323047289
185.0,-0.007622549504781192
195.0,-0.007341240026074245
205.0,-0.007068532993085893
215.0,-0.006806160856058931
225.0,-0.006549288552918442
235.0,-0.006295986651379336
245.0,-0.006051135370482301
255.0,-0.005809517339176585
265.0,-0.005569784010433795
275.0,-0.005343534621680657
285.0,-0.005135970973717596
295.0,-0.004937651722110165
305.0,-0.004745342063375203
315.0,-0.0045543137015257
325.0,-0.004357507994431405
335.0,-0.00416543169343995
345.0,-0.003982196375989663
355.0,-0.003809662711850687
365.0,-0.0036456984915099752
375.0,-0.0034795003108572986
385.0,-0.003311146421228004
395.0,-0.003142259179156236
405.0,-0.0029694361206347004
415.0,-0.002790652470570152
425.0,-0.002610296088134003
435.0,-0.002433328319352931
445.0,-0.002261176424218102
455.0,-0.0020932633049780326
465.0,-0.0019265463644555785
475.0,-0.0017567710585397603
485.0,-0.001577839257375956
495.0,-0.0013836760365800204
505.0,-0.0011824635727530214
515.0,-0.0009752408811859255
525.0,-0.000762116601902457
535.0,-0.0005493119231044114
545.0,-0.00033650377815846853
555.0,-0.0001232906022884939
565.0,9.412142624663689e-05
575.0,0.0003243087497969834
585.0,0.0005660906581831075
595.0,0.0008345588297754308
605.0,0.0011299234853660383
615.0,0.0014389366168588102
625.0,0.001756231512601874
635.0,0.0020899246929558185
645.0,0.0024652184988517446
655.0,0.0028970354531631234
665.0,0.0033834591224407894
675.0,0.003971886356601968
685.0,0.004736692716206785
695.0,0.005781415304159383
705.0,0.007315432503084428
715.0,0.009800693234406148
725.0,0.014423743850976879
735.0,0.023219449584807615
745.0,0.040887408617511396
755.0,0.07533233756226683
765.0,0.13194365840052005
775.0,0.19041852952739555
785.0,0.18990920705792846
795.0,0.1088541613967807
805.0,0.018587965029252654
815.0,-0.024243501134183137
825.0,-0.030835454002751013
835.0,-0.025207627598900908
845.0,-0.017292640522067894
855.0,-0.009813354721722034
865.0,-0.004139375476552616
875.0,-0.0012314150109765199
885.0,-0.0004035720538346248
895.0,-0.0002466428361947134
905.0,-0.0001806446652668196
915.0,-9.122964014803837e-05
925.0,-5.9184457626251685e-06
935.0,5.651847885105089e-05
945.0,0.00010305467766978656
955.0,0.0001416844718343887
965.0,0.00017239391710884578
975.0,0.0001936016886553843
985.0,0.00020675492323357796
995.0,0.0002143540214164439
1005.0,0.00021765106965693137
1015.0,0.00021690663117008947
1025.0,0.0002125181957122747
1035.0,0.00020525490965107515
1045.0,0.00019583987773860636
1055.0,0.00018470833132383507
1065.0,0.00017209776546878592
1075.0,0.00015820578307254102
1085.0,0.0001432481746775199
1095.0,0.00012747619395933347
1105.0,0.0001111847810094833
1115.0,9.462665158623657e-05
1125.0,7.795162330403101e-05
1135.0,6.12440425597939e-05
1145.0,4.460308041616489e-05
1155.0,2.8211060184128773e-05
1165.0,1.235388504512932e-05
1175.0,-2.6233278770898085e-06
1185.0,-1.6401966384505575e-05
1195.0,-2.873855949593076e-05
1205.0,-3.94569166059168e-05
1215.0,-4.83937635148599e-05
1225.0,-5.538252037143622e-05
1235.0,-6.0285064559193714e-05
1245.0,-6.305843475428522e-05
1255.0,-6.376901610087381e-05
1265.0,-6.257153133582684e-05
1275.0,-5.9651498174598086e-05
1285.0,-5.521206103102711e-05
1295.0,-4.94924526981108e-05
1305.0,-4.278533937927114e-05
1315.0,-3.539315352935476e-05
1325.0,-2.7598856098318513e-05
1335.0,-1.9644988607572382e-05
1345.0,-1.175549000703418e-05
1355.0,-4.137250563746011e-06
1365.0,3.010894341588006e-06
1375.0,9.530920538356811e-06
1385.0,1.5311332046250653e-05
1395.0,2.0323913786960475e-05
1405.0,2.461513487222962e-05
1415.0,2.828951372333588e-05
1425.0,3.144698315267631e-05
1435.0,3.416520631431563e-05
1445.0,3.6479654420522744e-05
1455.0,3.838730323246445e-05
1465.0,3.98432991258949e-05
1475.0,4.079287408159403e-05
1485.0,4.1202700957596935e-05
1495.0,4.109311980120488e-05
1505.0,4.052922450758264e-05
1515.0,3.960276911150841e-05
1525.0,3.838572302162329e-05
1535.0,3.690462480282186e-05
1545.0,3.5116854732183686e-05
1555.0,3.292657605406718e-05
1565.0,3.019682180035561e-05
1575.0,2.6778873902601383e-05
1585.0,2.2508000267622386e-05
1595.0,1.7210250691544004e-05
1605.0,1.0678739778549271e-05
1615.0,2.6770683030704973e-06
1625.0,-7.05480637989208e-06
1635.0,-1.8754371175344536e-05
1645.0,-3.25936668049128e-05
1655.0,-4.86349766364308e-05
1665.0,-6.681909880401434e-05
1675.0,-8.696398689684689e-05
1685.0,-0.00010878735934415735
1695.0,-0.00013192120137806587
1705.0,-0.00015593596020932056
1715.0,-0.0001803600248549443
1725.0,-0.00020471264064347267
1735.0,-0.00022852513765312955
1745.0,-0.00025136724679086786
1755.0,-0.00027284922321639695
1765.0,-0.0002925969085736128
1775.0,-0.000310189775177775
1785.0,-0.00032512178842683965
1795.0,-0.0003367836869629409
1805.0,-0.0003444824755185333
1815.0,-0.0003474217377434696
1825.0,-0.00034481110166203696
1835.0,-0.00033602990558139395
1845.0,-0.00032075030847493696
1855.0,-0.00029854492533965476
1865.0,-0.00026857622193005726
1875.0,-0.00023063214759949432
1885.0,-0.0001873668167455296
1895.0,-0.00014211084204172365
1905.0,-8.845325068477744e-05
1915.0,-2.8175486459710232e-05
