z,ww
5.0,-0.03024116784854257
15.0,-0.12061073773516684
25.0,-0.15382784772833363
35.0,-0.16682607521588103
45.0,-0.17115323756962544
55.0,-0.1723571585376821
65.0,-0.17189239788946065
75.0,-0.17065811603854536
85.0,-0.16897650308952347
95.0,-0.16703816161399776
105.0,-0.16489170853453852
115.0,-0.16261239283706835
125.0,-0.1602765000750111
135.0,-0.157871602735324
145.0,-0.1554014685163687
155.0,-0.15289009855867985
165.0,-0.15035769359086198
175.0,-0.14781291985584138
185.0,-0.14526305391073316
195.0,-0.14271311521029983
205.0,-0.1401657325952166
215.0,-0.1376287259184667
225.0,-0.13509693211379753
235.0,-0.13257094060097688
245.0,-0.13004577367263137
255.0,-0.12751811881632566
265.0,-0.12498980629786527
275.0,-0.12246379953678448
285.0,-0.11993939614477953
295.0,-0.11741903544649877
305.0,-0.11490738465736343
315.0,-0.11240050328628202
325.0,-0.10990141053970394
335.0,-0.10741651303120431
345.0,-0.10494688279159536
355.0,-0.10248478338647947
365.0,-0.10003634241267391
375.0,-0.09759624565316141
385.0,-0.09516104833460655
395.0,-0.09272935717557863
405.0,-0.09030089248229306
415.0,-0.08788445432542864
425.0,-0.08546453008890088
435.0,-0.08304413128848598
445.0,-0.08061940464533152
455.0,-0.07819138366611444
465.0,-0.07575391176320352
475.0,-0.07330910802948022
485.0,-0.07085639344106405
495.0,-0.06839974281601485
505.0,-0.06593896213179687
515.0,-0.06347419500964924
525.0,-0.061011911902522316
535.0,-0.05854991690719285
545.0,-0.056101752374431206
555.0,-0.05366445184525793
565.0,-0.05123794914813447
575.0,-0.04882063178402609
585.0,-0.04641516372746871
595.0,-0.04402141485571693
605.0,-0.04162516652976267
615.0,-0.039235049168872334
625.0,-0.03683929796375503
635.0,-0.03444195780187556
645.0,-0.032044027389894106
655.0,-0.029646289210164798
665.0,-0.027242630776142803
675.0,-0.024830933210514695
685.0,-0.022412874211892062
695.0,-0.020001778588623568
705.0,-0.017605936964607577
715.0,-0.015246624107534287
725.0,-0.012941281198678878
735.0,-0.010707670024222234
745.0,-0.008592783959274297
755.0,-0.006613375828503978
765.0,-0.0047572990559078595
775.0,-0.0028952541125912257
785.0,-0.0013120697969642731
795.0,-0.0005053315163043722
805.0,-0.0001987580093034511
815.0,-5.937871364919233e-05
825.0,3.288315975825698e-05
835.0,9.029414148689911e-05
845.0,0.00010743546800423572
855.0,0.00011361427184805143
865.0,0.00011632884845928578
875.0,0.00011691717072421368
885.0,0.00011696813685722397
895.0,0.00011827422836053517
905.0,0.00011926408471598914
915.0,0.00011951957944062555
925.0,0.00011988794493432938
935.0,0.00012022044336430685
945.0,0.0001203150080786016
955.0,0.00012018121903116562
965.0,0.00011993756110069675
975.0,0.00011965878010303534
985.0,0.0001193473415119965
995.0,0.00011897715490247759
1005.0,0.00011854363243508232
1015.0,0.00011806869419978916
1025.0,0.00011757937535869289
1035.0,0.00011707765933482891
1045.0,0.00011653801161868159
1055.0,0.00011593130155928739
1065.0,0.00011523257253825277
1075.0,0.00011443577340137147
1085.0,0.00011354725992658324
1095.0,0.00011258370675571441
1105.0,0.00011155906884237819
1115.0,0.00011048022200939112
1125.0,0.00010933952079985083
1135.0,0.00010811739949070489
1145.0,0.00010679395988316202
1155.0,0.00010535982843230238
1165.0,0.00010381848832105207
1175.0,0.0001021874589550547
1185.0,0.00010048930148098801
1195.0,9.875292098650115e-05
1205.0,9.700975849627553e-05
1215.0,9.529243460058755e-05
1225.0,9.362734774702577e-05
1235.0,9.203167282873869e-05
1245.0,9.051135203254258e-05
1255.0,8.906391829703772e-05
1265.0,8.76824573151281e-05
1275.0,8.635571639936493e-05
1285.0,8.507051379075817e-05
1295.0,8.381279394574386e-05
1305.0,8.25694291028301e-05
1315.0,8.133101748999788e-05
1325.0,8.009164398693682e-05
1335.0,7.884569549513741e-05
1345.0,7.758371345828879e-05
1355.0,7.62942631917556e-05
1365.0,7.496857312931119e-05
1375.0,7.360800181894954e-05
1385.0,7.222297347960311e-05
1395.0,7.083020491957237e-05
1405.0,6.944773801673698e-05
1415.0,6.809432286696078e-05
1425.0,6.678953941305692e-05
1435.0,6.555395826019017e-05
1445.0,6.440829476786409e-05
1455.0,6.33702059936265e-05
1465.0,6.244931611782613e-05
1475.0,6.164561159859068e-05
1485.0,6.094920120512809e-05
1495.0,6.034265291805739e-05
1505.0,5.980311494685045e-05
1515.0,5.9304501731473066e-05
1525.0,5.882055688530802e-05
1535.0,5.832722427509349e-05
1545.0,5.7804722510964595e-05
1555.0,5.723820595425742e-05
1565.0,5.661636420325596e-05
1575.0,5.5929384171727165e-05
1585.0,5.516617530321787e-05
1595.0,5.431191738074595e-05
1605.0,5.3348167177613256e-05
1615.0,5.225612085165851e-05
1625.0,5.102088143049597e-05
1635.0,4.963430412590637e-05
1645.0,4.809571584667536e-05
1655.0,4.641177872709222e-05
1665.0,4.4594036201353466e-05
1675.0,4.26561316971003e-05
1685.0,4.06104732561523e-05
1695.0,3.846654048530311e-05
1705.0,3.623026172017641e-05
1715.0,3.390638999031883e-05
1725.0,3.150132999107741e-05
1735.0,2.902650472541522e-05
1745.0,2.6499971926912922e-05
1755.0,2.394662879238795e-05
1765.0,2.1396324296949934e-05
1775.0,1.8879976004953882e-05
1785.0,1.642629043695746e-05
1795.0,1.4060707117492297e-05
1805.0,1.1806161879683386e-05
1815.0,9.685106426829538e-06
1825.0,7.720239238516735e-06
1835.0,5.9350422778244645e-06
1845.0,4.351853993782588e-06
1855.0,2.991523284492847e-06
1865.0,1.8737997143999609e-06
1875.0,1.0145621297994523e-06
1885.0,4.1593182373619126e-07
1895.0,6.750012850856508e-08
1905.0,-6.310012482181831e-08
1915.0,-3.888852061313515e-08
