y,x
1.99216,0.00387008
2.05935,0.00483759
2.34490,0.00967519
2.58343,0.0135453
2.71109,0.0183829
2.96641,0.0304768
3.19821,0.0454734
3.44345,0.0720802
3.71892,0.118037
3.94737,0.164962
4.09854,0.210435
4.23292,0.254458
4.37066,0.297028
4.46809,0.338632
4.58567,0.386524
4.68981,0.430546
4.77380,0.471666
4.85778,0.508915
4.92497,0.542778
4.99552,0.588252
5.08287,0.641465
5.18365,0.701935
5.28108,0.759502
5.38522,0.821907
5.46249,0.877056
5.47256,0.918659
5.40202,0.947201
5.28779,0.971389
5.10638,1.00041
4.99552,1.02605
4.96865,1.04686
4.97200,1.06379
4.99888,1.09572
4.99552,1.14167
4.99552,1.18376
4.99216,1.22972
4.99552,1.26648
4.99216,1.30857
4.99552,1.33905
4.99552,1.36662
4.99552,1.39661
