y,x
1.55879,0.00435384
1.74356,0.00580511
1.93505,0.00677263
2.19037,0.00967519
2.48264,0.0164478
2.74804,0.0256393
2.91937,0.0343469
3.09742,0.0464409
3.29563,0.0672426
3.54423,0.100138
3.74916,0.140290
3.94737,0.187215
4.22284,0.268003
4.38074,0.326054
4.54535,0.389426
4.72340,0.464409
4.84435,0.522944
5.02576,0.610988
5.18701,0.699032
5.31467,0.777402
5.43561,0.854319
5.47592,0.893020
5.47592,0.912370
5.44569,0.947201
5.40202,0.957360
5.31803,0.973324
5.23068,0.988321
5.12318,1.00574
5.05263,1.02218
5.01232,1.03815
4.99888,1.05411
4.99888,1.07540
5.00224,1.09668
4.99888,1.13925
4.99888,1.16780
4.99888,1.19343
4.99552,1.21956
4.99552,1.24229
4.99552,1.26310
4.99552,1.28390
4.99216,1.29115
4.99552,1.32985
4.99216,1.37291
4.99216,1.39855
