y,x
0.0138809,1.40000
0.0231348,1.38125
-0.00462695,1.35765
0.0323887,1.32564
-0.0231348,1.27586
0.00462695,1.22316
0.0416426,1.17596
-0.00462695,1.14202
-0.0416426,1.12003
0.00462695,1.08835
0.124928,1.06313
0.439560,1.04406
0.976287,1.02983
1.47600,1.01949
2.12377,1.01076
2.77154,1.00074
3.87276,0.987484
5.42741,0.967440
6.85252,0.947720
8.12955,0.928969
9.00868,0.913128
9.90630,0.895347
10.8780,0.870777
11.6923,0.844914
12.5252,0.815171
13.3488,0.778317
14.2094,0.734349
14.9682,0.691352
15.8751,0.630251
16.4488,0.590486
17.1243,0.540376
17.7166,0.493500
18.4569,0.433691
19.3545,0.362568
19.9283,0.313105
20.8537,0.236162
21.7143,0.161806
22.4268,0.101028
22.8525,0.0573837
23.3615,0.0143863
23.4818,0.000808221
