y,x
-0.431350,0.0137376
-0.470567,0.0129609
-0.515517,0.0154923
-0.556646,0.0155432
-0.592988,0.0180638
-0.631247,0.0181112
-0.671416,0.0198114
-0.707755,0.0239825
-0.745051,0.0281548
-0.784253,0.0364556
-0.814830,0.0546485
-0.813818,0.0884817
-0.795599,0.115692
-0.771639,0.144545
-0.749599,0.169275
-0.723732,0.194825
-0.699777,0.220377
-0.674866,0.245928
-0.649001,0.269828
-0.622175,0.297027
-0.596309,0.321752
-0.571403,0.344003
-0.546493,0.368729
-0.521582,0.394280
-0.494760,0.419004
-0.469848,0.445380
-0.442073,0.467627
-0.416204,0.494002
-0.390338,0.518727
-0.364470,0.544277
-0.338606,0.568177
-0.313693,0.594553
-0.287827,0.619278
-0.261958,0.645653
-0.238963,0.669557
-0.215011,0.693459
-0.189143,0.719834
-0.166145,0.745387
-0.143144,0.772592
-0.118229,0.800619
-0.0971422,0.827000
-0.0770178,0.850081
-0.0520999,0.879759
-0.0329196,0.910268
-0.0118071,0.952329
-0.00505136,0.988631
-0.00307939,1.02411
-0.000123505,1.07610
-0.000944128,1.15780
-0.00178808,1.22547
-0.00168653,1.28653
-0.00159870,1.33935
-0.000561262,1.38804
