y,x
-0.311326,0.00471783
-0.351498,0.00538647
-0.387365,0.00543087
-0.428256,0.00486257
-0.469143,0.00615102
-0.500710,0.00433333
-0.546619,0.00562800
-0.623369,0.0100555
-0.662107,0.0101034
-0.699405,0.0126253
-0.738139,0.0145300
-0.775438,0.0170518
-0.805563,0.0195648
-0.822773,0.0232996
-0.845708,0.0357065
-0.848545,0.0555155
-0.842059,0.0734562
-0.822649,0.0981890
-0.808270,0.117358
-0.792460,0.134049
-0.780237,0.150745
-0.754365,0.179183
-0.728501,0.202670
-0.700482,0.228011
-0.680359,0.250268
-0.652336,0.277466
-0.626471,0.301571
-0.599167,0.328151
-0.572587,0.351019
-0.548872,0.376365
-0.521571,0.401088
-0.494988,0.425812
-0.470557,0.449920
-0.443253,0.477118
-0.416671,0.500605
-0.395111,0.524097
-0.366378,0.547580
-0.344099,0.572310
-0.313207,0.599504
-0.290928,0.624233
-0.267935,0.646486
-0.242069,0.671211
-0.216920,0.695937
-0.191051,0.722518
-0.165899,0.749101
-0.144334,0.775688
-0.119183,0.801651
-0.0947479,0.828854
-0.0746176,0.855442
-0.0544863,0.882650
-0.0343540,0.910477
-0.0199584,0.939548
-0.00842408,0.973574
-0.00255655,1.05093
-0.000311850,1.10663
0.00120932,1.15862
0.000574299,1.20813
-8.33659e-05,1.24403
9.26288e-06,1.29974
8.74828e-05,1.34677
-0.000551656,1.39381
