X,Y
2.54040,0.00945836
2.89273,0.0116230
3.20012,0.0140582
3.54025,0.0166701
3.84171,0.0200828
4.10908,0.0239081
4.50218,0.0286888
4.93297,0.0337504
5.35321,0.0392356
5.92204,0.0476445
6.48862,0.0567205
7.10943,0.0672584
7.64083,0.0813486
8.99955,0.0930877
10.0044,0.107790
11.0676,0.128325
11.9535,0.139464
13.2267,0.133525
14.6333,0.149199
17.2372,0.153410
21.8258,0.159634
28.7238,0.153460
34.6631,0.143483
42.2370,0.128434
48.8105,0.112705
56.1367,0.0977339
64.5652,0.0808165
71.7942,0.0695265
80.6060,0.0593421
87.4994,0.0500500
95.9019,0.0422132
106.127,0.0361724
115.761,0.0301480
127.490,0.0253269
137.729,0.0212766
150.229,0.0179451
162.291,0.0153160
177.878,0.0127652
189.400,0.0110690
