y,x
-0.120692,0.00928382
-0.145869,0.0117595
-0.167506,0.0142352
-0.185208,0.0148541
-0.210779,0.0173298
-0.228482,0.0173298
-0.246971,0.0198055
-0.259953,0.0247569
-0.271755,0.0334218
-0.272148,0.0464191
-0.265460,0.0581786
-0.256806,0.0656057
-0.248544,0.0730327
-0.227695,0.0940760
-0.211172,0.110787
-0.195043,0.125022
-0.177341,0.142971
-0.157671,0.163395
-0.139182,0.183201
-0.121873,0.199912
-0.108104,0.219717
-0.0931550,0.239523
-0.0738788,0.263660
-0.0569630,0.289036
-0.0361133,0.320601
-0.0195909,0.350309
-0.000314713,0.384350
0.0209284,0.434483
0.0335169,0.468523
0.0433517,0.499469
0.0512195,0.529797
0.0594807,0.563218
0.0634146,0.590451
0.0681353,0.623873
0.0724626,0.659770
0.0728560,0.691954
0.0712825,0.723519
0.0693155,0.758179
0.0653816,0.787887
0.0594807,0.820690
0.0520063,0.852874
0.0417781,0.883201
0.0323367,0.910433
0.0213218,0.941379
0.0126672,0.968612
0.00440598,1.00080
0.00165224,1.03298
7.86782e-05,1.10477
0.000865460,1.18028
0.000865460,1.23722
0.00125885,1.30964
0.00125885,1.38205
