y,x
-0.127773,0.00495137
-0.149410,0.00557029
-0.174980,0.00557029
-0.195437,0.00804598
-0.214319,0.00742706
-0.237136,0.00928382
-0.256019,0.0105217
-0.279622,0.0111406
-0.296538,0.0154730
-0.308733,0.0191866
-0.314241,0.0259947
-0.311487,0.0346596
-0.297325,0.0476569
-0.281196,0.0612732
-0.269394,0.0693192
-0.259559,0.0779841
-0.243037,0.0909814
-0.222581,0.108311
-0.203304,0.125641
-0.185995,0.142352
-0.167506,0.157825
-0.150197,0.177630
-0.130921,0.198674
-0.115578,0.214766
-0.0935484,0.242617
-0.0754524,0.265517
-0.0510622,0.298939
-0.0254917,0.339788
-0.00582219,0.375685
0.0158143,0.417153
0.0382376,0.472856
0.0543666,0.525464
0.0657750,0.576835
0.0716758,0.605305
0.0767899,0.645535
0.0767899,0.678338
0.0775767,0.711141
0.0756098,0.745800
0.0720692,0.776746
0.0685287,0.806454
0.0614477,0.838638
0.0527931,0.870203
0.0421715,0.899293
0.0303698,0.930239
0.0213218,0.954377
0.0114870,0.986561
0.00361920,1.02679
0.00243902,1.11220
0.000865460,1.18957
0.00125885,1.29912
0.000472069,1.36720
0.000472069,1.39381
