            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
         114.053          450727          265093        -52075.1         751.681         459.663         37.8375     3.16352e+06     1.46056e+06          323017       0.0130695         5.27567
         114.056          450971          265176        -52066.9         750.889         459.063         38.1053     3.16679e+06     1.46532e+06          320165      0.00982082         5.29108
          114.06          450877          265061        -52017.2         750.679          458.79         38.3695     3.15969e+06     1.47212e+06          319065      0.00793005          5.2721
         114.063          450894          265019        -51976.5         751.064         458.891         38.5647     3.15826e+06     1.47726e+06          316496       0.0122171          5.2542
         114.067          451062          265066        -51955.5         750.859         458.658         38.8051     3.15727e+06     1.48181e+06          314547       0.0101372         5.23786
          114.07          451065          265010        -51917.6         750.839         458.543         39.0297      3.1541e+06     1.48857e+06          313064       0.0087881         5.21947
         114.074          451138          264999        -51885.4          750.93         458.496         39.2376     3.15248e+06     1.49344e+06          311062      0.00408512         5.19825
         114.077          451247          265009        -51858.5          750.81         458.325         39.4609     3.15087e+06     1.49864e+06          309486      0.00427827         5.17192
         114.081          451294          264981        -51825.8         750.803         458.221         39.6759     3.14853e+06     1.50474e+06          308170        0.006365           5.142
         114.084          451384          264980        -51797.7         750.806         458.121         39.8878     3.14707e+06     1.50978e+06          306625      0.00877831          5.1141
         114.087          451474          264977        -51770.2         750.735         457.977         40.1056     3.14546e+06      1.5152e+06          305348      0.00496076         5.08397
         114.091          451545          264963        -51741.6         750.727         457.868         40.3198     3.14363e+06     1.52086e+06          304190      0.00432093          5.0501
         114.094          451640          264963        -51713.9         750.707         457.751         40.5351     3.14225e+06     1.52593e+06          302923      0.00590057         5.00921
         114.098          451732          264962        -51687.7         750.661         457.617         40.7529     3.14075e+06     1.53122e+06          301798       0.0059699         4.97567
         114.101          451820          264957        -51661.5         750.648         457.502           40.97     3.13923e+06     1.53648e+06          300671      0.00808596         4.95682
         114.105          451921          264961        -51635.7         750.623         457.378         41.1888     3.13801e+06     1.54143e+06          299466      0.00593756         4.94503
         114.108          452018          264962        -51609.6          750.59         457.249         41.4096     3.13672e+06     1.54654e+06          298305      0.00737168         4.93646
         114.112          452116          264963        -51583.8         750.574         457.129          41.631     3.13553e+06     1.55151e+06          297139      0.00916037         4.92944
         114.115          452219          264967        -51558.2         750.551         457.005         41.8543     3.13445e+06     1.55629e+06          295911      0.00872935         4.92334
         114.118          452319          264969        -51532.8         750.529         456.881          42.079     3.13334e+06     1.56108e+06          294706      0.00711203         4.91828
         114.122          452420          264971        -51506.3         750.514         456.761         42.3051     3.13234e+06      1.5657e+06          293441      0.00865588         4.91722
         114.125          452521          264974        -51479.7         750.498          456.64         42.5324     3.13142e+06     1.57019e+06          292089      0.00543888         4.91696
         114.129          452619          264974        -51452.8         750.485         456.522         42.7611     3.13048e+06     1.57466e+06          290683       0.0123463         4.91651
         114.132          452718          264974          -51427         750.478         456.406         42.9908     3.12964e+06     1.57899e+06          289177      0.00595113         4.92354
         114.136          452819          264976        -51402.3         750.468         456.289         43.2223     3.12888e+06     1.58317e+06          287609       0.0108319         4.93123
         114.139          452913          264975        -51374.4         750.466         456.177         43.4545     3.12806e+06     1.58732e+06          285913       0.0108868          4.9396
         114.143          453009          264974        -51347.2         750.464         456.066         43.6878     3.12734e+06     1.59132e+06          284111      0.00974389         4.94822
         114.146          453103          264973        -51320.5         750.463         455.955         43.9226     3.12666e+06     1.59519e+06          282203       0.0109979         4.95691
         114.149          453192          264969        -51291.9         750.467         455.848          44.158     3.12593e+06     1.59898e+06          280134       0.0103801         4.96574
         114.153          453280          264967        -51263.6         750.473         455.744         44.3938     3.12525e+06     1.60264e+06          277952       0.0121293         4.97507
         114.156          453367          264964        -51235.8         750.478         455.639          44.631     3.12462e+06     1.60617e+06          275641      0.00994837         4.98495
          114.16          453448          264957        -51206.7         750.488         455.539          44.868     3.12401e+06     1.60964e+06          273162       0.0123694         4.99562
