            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
      0.00344353               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
      0.00688705               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0103306               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0137741               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0172176               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0206612               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0241047               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0275482               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0309917               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0344353               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0378788               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0413223               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0447658               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0482094               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0516529               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0550964               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0585399               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0619835               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
        0.065427               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0688705               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
        0.072314               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0757576               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0792011               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0826446               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0860882               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0895317               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0929752               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0964187               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
       0.0998623               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
        0.103306               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
        0.106749               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
        0.110193               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
