            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
         49.5902               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.5937               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.5971               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6006               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
          49.604               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6074               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6109               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6143               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6178               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6212               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6247               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6281               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6315               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
          49.635               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6384               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6419               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6453               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6488               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6522               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6556               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6591               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6625               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
          49.666               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6694               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6729               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6763               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6798               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6832               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6866               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6901               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.6935               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
          49.697               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7004               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7039               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7073               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7107               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7142               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7176               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7211               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7245               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
          49.728               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7314               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7348               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7383               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7417               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7452               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7486               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7521               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7555               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
          49.759               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7624               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7658               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7693               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7727               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7762               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7796               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7831               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7865               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7899               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7934               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.7968               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8003               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8037               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8072               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8106               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
          49.814               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8175               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8209               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8244               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8278               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8313               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8347               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8382               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8416               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
          49.845               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8485               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8519               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8554               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8588               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8623               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8657               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8691               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8726               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
          49.876               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8795               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
         49.8829               0               0               0               0               0               0               0               0               0           1e+08          -1e+08
