Time,GenPwr,RotTorq,RotSpeed,RotThrust,B1RootMxr,B1RootMyr,B1TipTDxr,BldPitch1
0.0,5000.0,5.375e-14,12.1,101.3,55.15,914700.0,0.3534,0.0
0.0034,4989.0,17.25,12.09,102.6,9524.0,926500.0,0.3541,0.03443
0.0069,4977.0,45.27,12.09,105.9,21530.0,943000.0,0.3561,0.07746
0.0103,4966.0,83.05,12.1,109.7,30490.0,966100.0,0.3593,0.1205
0.0138,4954.0,127.4,12.1,113.7,39940.0,993700.0,0.3639,0.1635
0.0172,4943.0,178.5,12.09,118.1,55820.0,1025000.0,0.3697,0.2066
0.0207,4931.0,238.9,12.1,123.0,73600.0,1060000.0,0.3768,0.2496
0.0241,4920.0,307.7,12.1,128.5,89520.0,1098000.0,0.3853,0.2926
0.0275,4909.0,381.9,12.09,134.3,106200.0,1139000.0,0.395,0.3357
0.031,4897.0,460.3,12.09,139.9,126900.0,1181000.0,0.4059,0.3787
0.0344,4886.0,543.0,12.08,144.9,151800.0,1221000.0,0.4181,0.4218
0.0379,4875.0,629.8,12.07,148.9,179500.0,1258000.0,0.4315,0.4648
0.0413,4864.0,720.9,12.07,152.0,209700.0,1293000.0,0.4461,0.5078
0.0448,4853.0,816.3,12.06,154.2,242400.0,1326000.0,0.4619,0.5509
0.0482,4843.0,916.6,12.05,155.7,276800.0,1356000.0,0.4787,0.5939
0.0517,4833.0,1022.0,12.05,156.7,312200.0,1384000.0,0.4965,0.6369
0.0551,4822.0,1133.0,12.04,157.3,348100.0,1412000.0,0.5154,0.68
0.0585,4812.0,1247.0,12.04,157.5,384400.0,1439000.0,0.5351,0.723
0.062,4803.0,1365.0,12.03,157.5,421100.0,1465000.0,0.5557,0.766
0.0654,4793.0,1485.0,12.02,157.3,458700.0,1492000.0,0.5771,0.8091
0.0689,4784.0,1608.0,12.02,157.2,497500.0,1519000.0,0.5993,0.8521
0.0723,4775.0,1731.0,12.01,157.2,537700.0,1548000.0,0.6221,0.8951
0.0758,4767.0,1856.0,12.0,157.5,579400.0,1580000.0,0.6456,0.9382
0.0792,4758.0,1983.0,11.99,158.2,622400.0,1614000.0,0.6696,0.9812
0.0826,4750.0,2110.0,11.98,159.3,666400.0,1650000.0,0.6943,1.024
0.0861,4742.0,2240.0,11.97,160.9,711000.0,1689000.0,0.7194,1.067
0.0895,4735.0,2370.0,11.96,162.9,755700.0,1731000.0,0.745,1.11
0.093,4728.0,2502.0,11.96,165.3,800400.0,1775000.0,0.7711,1.153
0.0964,4721.0,2633.0,11.95,168.1,845000.0,1822000.0,0.7977,1.196
0.0999,4715.0,2764.0,11.94,171.2,889600.0,1870000.0,0.8246,1.239
0.1033,4708.0,2895.0,11.93,174.6,934400.0,1919000.0,0.8519,1.282
0.1067,4703.0,3024.0,11.92,178.1,979700.0,1969000.0,0.8795,1.326
0.1102,4697.0,3153.0,11.91,181.6,1025000.0,2020000.0,0.9075,1.369
0.1136,4692.0,3280.0,11.91,185.0,1071000.0,2070000.0,0.9359,1.412
0.1171,4687.0,3407.0,11.9,188.1,1117000.0,2118000.0,0.9645,1.455
0.1205,4683.0,3533.0,11.89,190.8,1163000.0,2166000.0,0.9935,1.498
0.124,4679.0,3658.0,11.88,193.1,1209000.0,2212000.0,1.023,1.541
0.1274,4675.0,3782.0,11.88,195.0,1253000.0,2257000.0,1.052,1.584
0.1309,4671.0,3905.0,11.88,196.5,1297000.0,2300000.0,1.082,1.627
0.1343,4668.0,4027.0,11.87,197.5,1339000.0,2341000.0,1.112,1.67
0.1377,4666.0,4147.0,11.87,198.0,1381000.0,2382000.0,1.142,1.713
0.1412,4663.0,4265.0,11.86,198.3,1423000.0,2423000.0,1.173,1.756
0.1446,4661.0,4380.0,11.86,198.4,1464000.0,2463000.0,1.203,1.799
0.1481,4659.0,4492.0,11.85,198.4,1504000.0,2505000.0,1.234,1.842
0.1515,4658.0,4601.0,11.84,198.4,1544000.0,2548000.0,1.265,1.885
0.155,4657.0,4707.0,11.84,198.8,1583000.0,2593000.0,1.297,1.928
0.1584,4656.0,4809.0,11.83,199.5,1622000.0,2641000.0,1.328,1.971
0.1618,4656.0,4908.0,11.83,200.8,1659000.0,2693000.0,1.36,2.014
0.1653,4655.0,5002.0,11.82,202.7,1695000.0,2748000.0,1.392,2.057
0.1687,4655.0,5092.0,11.81,205.4,1730000.0,2808000.0,1.424,2.1
0.1722,4656.0,5177.0,11.81,208.9,1764000.0,2873000.0,1.456,2.143
0.1756,4656.0,5256.0,11.8,213.1,1796000.0,2942000.0,1.488,2.186
0.1791,4657.0,5330.0,11.79,218.2,1827000.0,3015000.0,1.52,2.229
0.1825,4659.0,5399.0,11.78,224.1,1856000.0,3093000.0,1.553,2.272
0.186,4660.0,5462.0,11.77,230.6,1885000.0,3175000.0,1.586,2.315
0.1894,4662.0,5520.0,11.77,237.8,1912000.0,3260000.0,1.619,2.358
0.1928,4663.0,5572.0,11.76,245.5,1938000.0,3349000.0,1.652,2.401
0.1963,4665.0,5620.0,11.75,253.6,1963000.0,3439000.0,1.686,2.444
0.1997,4668.0,5662.0,11.75,262.1,1986000.0,3532000.0,1.719,2.487
0.2032,4670.0,5700.0,11.74,270.8,2008000.0,3627000.0,1.753,2.531
0.2066,4672.0,5734.0,11.74,279.7,2028000.0,3722000.0,1.787,2.574
0.2101,4675.0,5763.0,11.73,288.6,2048000.0,3818000.0,1.821,2.617
0.2135,4678.0,5788.0,11.73,297.5,2066000.0,3915000.0,1.856,2.66
0.2169,4681.0,5809.0,11.73,306.3,2082000.0,4012000.0,1.89,2.692
0.2204,4684.0,5831.0,11.73,315.0,2094000.0,4108000.0,1.924,2.692
