            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
       0.0137741          288096          166084        -28362.2         5205.55         3278.66        -55.0896          595224          879244         -830839       0.0309681          4.8136
       0.0275482          406272          233312        -39576.6         1030.93          747.85         143.486          885616     1.04548e+06    -1.12945e+06      0.00907428         2.81226
       0.0413223          432323          247431        -42441.1         602.007         428.829         132.683     1.18565e+06     1.23173e+06    -1.20742e+06       0.0219437         2.58215
       0.0550964          454965          259709        -44879.8          548.42         360.494         121.251     1.43432e+06     1.36822e+06    -1.27196e+06       0.0330052         2.50751
       0.0688705          472927          269464        -46780.6         543.239         338.366         115.818     1.62804e+06     1.49742e+06    -1.32725e+06       0.0155803         2.53867
       0.0826446          488962          278252        -48356.7          551.13         330.667         112.334     1.76714e+06     1.63368e+06    -1.38012e+06       0.0139754         2.63135
       0.0964187          503073          285901        -49652.7         564.401         329.041         109.371     1.86605e+06     1.78358e+06    -1.42978e+06       0.0229459         2.70637
        0.110193          515469          292466        -50738.6         579.847         330.471         106.539     1.94176e+06     1.93676e+06     -1.4744e+06       0.0200522         2.76637
        0.123967          526386          298110        -51676.4         595.517         333.415         103.759     2.00694e+06      2.0807e+06    -1.51202e+06       0.0200146         2.81428
        0.137741          536108          303069        -52546.9         610.296         337.069         101.045     2.06896e+06     2.20713e+06    -1.54356e+06       0.0152624         2.85302
        0.151515          544832          307497        -53345.4         623.565         340.992         98.4555     2.12961e+06     2.31607e+06    -1.57064e+06        0.019021         2.88515
        0.165289          552699          311513        -54104.2         635.134         344.891         96.0196     2.18871e+06      2.4105e+06    -1.59446e+06       0.0173433          2.9124
        0.179063          559752          315124        -54777.3         645.106         348.542         93.7309     2.24503e+06     2.49392e+06    -1.61579e+06       0.0155924         2.93602
        0.192837          566118          318405        -55407.6         653.692         351.798         91.5666     2.29821e+06     2.56875e+06    -1.63481e+06       0.0145306         2.95672
        0.206612          571850          321364        -55978.7         661.115          354.59         89.5182     2.34821e+06     2.63641e+06    -1.65177e+06      0.00665025           2.975
        0.220386          577011          324024        -56481.6          667.61         356.905         87.5902     2.39499e+06     2.69765e+06    -1.66688e+06      0.00661933         2.99112
         0.23416          581703          326460        -56974.2         673.404         358.777         85.7714     2.43942e+06     2.75287e+06    -1.67993e+06      0.00919247         3.00543
        0.247934          585937          328646        -57403.7         678.671         360.289         84.0492     2.48122e+06     2.80271e+06    -1.69137e+06      0.00537107         3.01816
        0.261708          589808          330654        -57825.7         683.533         361.531         82.4054     2.52104e+06     2.84735e+06    -1.70062e+06      0.00987803         3.02947
        0.275482          593331          332484        -58215.5         688.076         362.582         80.8207     2.55882e+06     2.88773e+06    -1.70802e+06       0.0111893          3.0394
        0.289256          596560          334160        -58580.7         692.358         363.502         79.2795     2.59471e+06     2.92408e+06    -1.71305e+06       0.0121252         3.04814
         0.30303          599521          335697        -58929.3         696.425         364.335         77.7711     2.62892e+06     2.95665e+06    -1.71577e+06       0.0120796         3.05599
        0.316804          602242          337116        -59268.1         700.305         365.113           76.29     2.66164e+06     2.98574e+06    -1.71648e+06      0.00646942         3.06295
        0.330579          604739          338426        -59600.2         704.016         365.856          74.833     2.69289e+06     3.01167e+06    -1.71544e+06       0.0120012         3.06902
        0.344353          607026          339635        -59911.2         707.569         366.577         73.4008     2.72263e+06     3.03497e+06     -1.7132e+06       0.0126691         3.07415
        0.358127          609131          340753        -60204.9         710.969         367.288          71.994     2.75086e+06     3.05595e+06    -1.70985e+06       0.0137315         3.07827
        0.371901          611070          341783        -60481.6          714.22         367.997         70.6124     2.77778e+06     3.07479e+06    -1.70541e+06       0.0113478         3.08149
        0.385675          612910          342781        -60759.1         717.323          368.71          69.256     2.80427e+06     3.09101e+06    -1.69964e+06      0.00934684         3.08387
        0.399449          614630          343725        -61040.6         720.279         369.427         67.9238     2.83041e+06      3.1047e+06    -1.69248e+06      0.00951778          3.0854
