            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
       0.0005795         53654.2       0.0065534     6.86293e-05         38.7874    -0.000247395    -9.42336e-06        -8968.97        0.186255       0.0069607        0.113147         2.70509
        0.001159        -16070.8    -0.000898925     -0.00144461         39.4126    -0.000140231    -6.57904e-06         2097.18      -0.0221924     -0.00406405        0.084673          2.0487
       0.0017385         597.921      0.00522874      0.00187859         28.8108     -0.00010024    -7.52528e-06         -1126.9     -0.00218197      0.00459215        0.066773          2.1158
        0.002318         2050.45      -0.0105952     0.000705616          22.211    -8.03564e-05    -5.87384e-06        -1639.77        -0.11688      -0.0025857       0.0743573         1.82498
       0.0028975         2299.18      -0.0116442     0.000158045         18.0394    -6.93533e-05    -4.13246e-06        -1885.34       -0.125002      -0.0029215        0.082034         1.80884
        0.003477         2398.67     -0.00664309    -0.000126051         15.2515    -5.91041e-05    -1.82264e-06        -2050.41      -0.0569471     -0.00169073       0.0733966         1.77188
       0.0040565          2465.7     -0.00679906    -0.000388863         13.3124    -5.25695e-05    -1.15727e-08        -2174.84       -0.051772     -0.00115875       0.0511336         1.78323
        0.004636         2521.61    -0.000880914     0.000595016         11.9195    -4.96335e-05      1.9414e-06        -2273.35    -0.000574044    -0.000310623       0.0325823         1.82703
       0.0052155            2572      0.00209548     5.32459e-05         10.8641    -4.75358e-05     1.95083e-06        -2355.99       0.0631271    -4.95768e-05        0.047722         1.85431
        0.005795         2614.29      0.00213889     0.000439641         10.0101    -4.72947e-05     5.15171e-07        -2433.17       0.0288439    -0.000119297       0.0625587         1.87746
       0.0063745         2647.89      0.00296644     9.06876e-05         9.29904    -4.49199e-05     1.75308e-06        -2505.76       0.0640883    -0.000996998       0.0492437          1.9008
        0.006954         2675.21      0.00275575     0.000337548         8.71144    -4.55672e-05     7.09982e-07        -2573.83       0.0472083    -0.000722058       0.0347928         1.92405
       0.0075335         2701.62      0.00272134     0.000338816         8.23133    -4.04774e-05     4.97753e-06        -2638.33       0.0575242     -0.00139338       0.0107258         1.94707
        0.008113         2729.07     0.000913368     0.000802326         7.83166      -3.916e-05     6.11018e-06        -2699.17       0.0318636     -0.00155109       0.0187539          1.9693
       0.0086925         2755.11      0.00220292     0.000545976           7.481     -3.3533e-05     1.00462e-05        -2756.67        0.041974      -0.0013416        0.020786         1.99577
        0.009272         2776.57      0.00317778    -0.000120713          7.1633    -3.16489e-05     7.90716e-06        -2810.59       0.0292135     -0.00115732       0.0237196         2.02132
