            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          3.3385         2846.96        -19.7805        -1.62573         3.14968      -0.0146898       -0.018753        -1829.64        -2.95675         1.11699       0.0237685         2.12074
         3.33908         2846.23        -18.3083         -1.1443         3.14674      -0.0172902       -0.018054        -1826.32        -2.93755         1.05497       0.0100156         2.12123
         3.33966         2845.11        -16.6927       -0.666827         3.14339      -0.0197669      -0.0172393        -1822.83        -2.75705        0.993583       0.0116233         2.12155
         3.34024         2844.01        -14.9619        -0.19884         3.13999      -0.0221158       -0.016334        -1819.25        -2.64582        0.918764       0.0139983          2.1217
         3.34082         2842.71        -13.1346        0.254013         3.13666       -0.024329      -0.0153585        -1815.54        -2.54153        0.835158       0.0160183         2.12179
          3.3414         2841.28         -11.224        0.688266         3.13348      -0.0263965      -0.0143317        -1811.75        -2.41605        0.744231        0.011704         2.12182
         3.34198         2839.77        -9.24132         1.09878         3.13047      -0.0282995      -0.0132666        -1807.77        -2.29159        0.646015       0.0134063         2.12172
         3.34256         2838.16        -7.20792         1.48199         3.12763      -0.0300202       -0.012173        -1803.67          -2.191        0.540208       0.0120124         2.12149
         3.34314         2836.48        -5.12472         1.83453         3.12495      -0.0315354      -0.0110577        -1799.44        -2.16232        0.427462       0.0168105         2.12117
         3.34371         2834.77         -3.0217         2.15382         3.12242       -0.032832     -0.00992696        -1795.13        -2.14982        0.311064        0.020486         2.12072
         3.34429         2833.02       -0.911791         2.43767         3.12003      -0.0339024     -0.00879007        -1790.72        -2.12069        0.192708       0.0128427         2.12018
         3.34487         2831.26         1.19084         2.68373         3.11776      -0.0347386     -0.00765197         -1786.2        -2.14755       0.0719949       0.0207584         2.11953
         3.34545         2829.47         3.26884         2.89113         3.11562       -0.035337     -0.00651694        -1781.64        -2.20731       -0.049305       0.0199036         2.11879
         3.34603         2827.64         5.30613         3.05856         3.11358      -0.0356932     -0.00538834        -1776.97        -2.33102       -0.169114       0.0199288         2.11796
         3.34661         2825.77         7.28523         3.18663         3.11165      -0.0358096     -0.00427136        -1772.21        -2.42719       -0.285886        0.018063         2.11704
         3.34719         2823.94         9.19944         3.27511         3.10982      -0.0356872     -0.00316815        -1767.39        -2.54829       -0.398732       0.0148167         2.11604
         3.34777         2822.08         11.0418         3.32407         3.10807      -0.0353246     -0.00208238        -1762.45        -2.66452       -0.506519       0.0138777         2.11495
         3.34835         2820.11         12.7929           3.335         3.10642      -0.0347258     -0.00102147        -1757.44        -2.71771       -0.608836       0.0112929         2.11377
         3.34893          2818.2         14.4454         3.30923         3.10483      -0.0338944     1.00448e-05         -1752.4        -2.71707       -0.705567      0.00794018          2.1125
         3.34951         2816.21         15.9856         3.24884         3.10332      -0.0328361      0.00100633        -1747.31        -2.70192       -0.796608      0.00319228         2.11113
         3.35009         2814.13         17.4029         3.15576         3.10186      -0.0315592      0.00196164        -1742.15        -2.65629        -0.88168      0.00825717         2.10968
         3.35067         2812.08         18.6932         3.03123         3.10047      -0.0300704      0.00286884        -1736.98        -2.59246       -0.959676       0.0115293         2.10813
         3.35125         2809.99          19.853         2.87805         3.09912       -0.028382      0.00372157        -1731.84        -2.44015        -1.03305       0.0140678         2.10649
         3.35183         2807.74         20.8672         2.69892         3.09782      -0.0265104       0.0045118         -1726.7        -2.20516        -1.10266       0.0162088         2.10476
         3.35241         2805.39         21.7349         2.49558         3.09655      -0.0244675      0.00523398        -1721.58         -2.0021        -1.16404       0.0180031         2.10295
         3.35299         2803.07         22.4593          2.2703         3.09533      -0.0222694      0.00588152        -1716.54        -1.75483        -1.22029       0.0169876         2.10105
         3.35357         2800.67         23.0277         2.02585         3.09413      -0.0199316      0.00644986        -1711.54        -1.49747        -1.26971       0.0160604         2.09906
         3.35415         2798.08         23.4352         1.76488         3.09297      -0.0174769      0.00693384         -1706.6        -1.21583        -1.31322       0.0152971         2.09697
         3.35473         2795.43         23.6789         1.49038         3.09182      -0.0149269      0.00732856        -1701.73        -0.93161        -1.35028       0.0147837         2.09479
          3.3553         2792.73         23.7604         1.20518          3.0907      -0.0123041      0.00763317        -1697.02       -0.643652        -1.38112        0.014586         2.09253
         3.35588         2789.88         23.6941        0.909745          3.0896     -0.00962153       0.0078464        -1692.34        -0.35548        -1.40523       0.0147129         2.09018
         3.35646         2786.91          23.457        0.607517          3.0885     -0.00689458      0.00796926        -1687.73       -0.170956        -1.41419       0.0151072         2.08774
         3.35704         2783.85         23.0597        0.301115         3.08742      -0.0041387      0.00800131        -1683.24      -0.0114103        -1.41342       0.0156759          2.0852
         3.35762         2780.71         22.4988     -0.00655002         3.08631     -0.00138338        0.007943        -1678.84        0.106108        -1.40128       0.0159774         2.08258
          3.3582         2777.44         21.7863       -0.312894         3.08523       0.0013462          0.0078        -1674.54        0.203423        -1.37917       0.0170085         2.07988
         3.35878         2774.05         20.9145       -0.614224         3.08419      0.00404134      0.00757754         -1670.3        0.215738        -1.34094       0.0176622         2.07709
         3.35936          2770.6         19.8966       -0.908294         3.08318      0.00668409      0.00727631        -1666.14        0.249167        -1.29577       0.0182639         2.07421
         3.35994         2767.14         18.7386        -1.19221         3.08221      0.00925839      0.00689924        -1662.07          0.2651        -1.24003       0.0187966         2.07124
         3.36052         2763.55         17.4505        -1.46299         3.08127       0.0117515      0.00645136        -1658.07        0.240834        -1.17177       0.0190554         2.06819
          3.3611         2759.92         16.0401         -1.7174         3.08034       0.0141504      0.00594017        -1654.13         0.11484        -1.08448       0.0151562         2.06506
         3.36168         2756.21          14.518        -1.95243         3.07943        0.016438      0.00537241        -1650.22       0.0249579       -0.992111       0.0183255         2.06185
         3.36226         2752.47         12.8908        -2.16367         3.07854       0.0185968      0.00475831        -1646.38      -0.0966141       -0.888343       0.0181302         2.05856
         3.36284         2748.75         11.1785        -2.34937         3.07765       0.0206152      0.00410902        -1642.57       -0.300598        -0.76688       0.0180601         2.05519
         3.36342         2744.99         9.38502        -2.50651         3.07677       0.0224782      0.00343576         -1638.8       -0.554199        -0.63078       0.0181223         2.05175
           3.364         2741.16         7.54116        -2.63327         3.07588       0.0241678      0.00274881        -1635.05       -0.673776       -0.504001       0.0183195         2.04821
         3.36458         2737.36         5.66695        -2.72894         3.07499       0.0256763      0.00206086        -1631.31        -0.83551       -0.365773       0.0186496         2.04461
         3.36516         2733.55         3.78307        -2.79364         3.07408       0.0269975      0.00138228        -1627.62       -0.976779        -0.22458       0.0187296         2.04092
         3.36574         2729.75         1.89719        -2.82592         3.07317       0.0281212     0.000719609        -1623.91        -1.08185      -0.0833449       0.0193624         2.03717
         3.36632         2725.92       0.0324771        -2.82664         3.07225       0.0290393     7.95139e-05        -1620.25        -1.14394       0.0554355       0.0189841         2.03334
         3.36689         2722.12        -1.78703        -2.79665         3.07131       0.0297464    -0.000534025        -1616.59        -1.13073        0.184886       0.0185795         2.02943
         3.36747         2718.37        -3.54925         -2.7369         3.07033       0.0302361     -0.00111883        -1612.97        -1.00729        0.297605       0.0181883         2.02545
         3.36805         2714.62        -5.24394        -2.64815         3.06932       0.0305063     -0.00167404         -1609.4       -0.875175        0.407344       0.0178621          2.0214
         3.36863         2710.84         -6.8494         -2.5338         3.06826       0.0305578     -0.00220075        -1605.84       -0.673892         0.50315       0.0176605         2.01729
         3.36921          2707.1        -8.35596        -2.39625         3.06716       0.0303885     -0.00270347        -1602.33       -0.378964        0.579193       0.0171507          2.0131
         3.36979          2703.4        -9.75993        -2.23665         3.06602        0.029998     -0.00318347        -1598.84        -0.04402        0.641913        0.017862         2.00885
         3.37037          2699.7        -11.0425        -2.05936         3.06482       0.0293899     -0.00364393        -1595.41        0.329208        0.690847       0.0183216         2.00454
         3.37095         2696.06        -12.2054        -1.86562         3.06355       0.0285755     -0.00408876        -1592.02        0.761057        0.720765       0.0139733         2.00016
         3.37153         2692.45        -13.2376        -1.65823         3.06224       0.0275619     -0.00452143        -1588.68         1.21629         0.73603       0.0198509         1.99573
         3.37211         2688.93        -14.1428        -1.43864         3.06091       0.0263549      -0.0049429        -1585.42         1.66583        0.741759       0.0208207         1.99124
         3.37269         2685.45        -14.9215        -1.20872         3.05955       0.0249748     -0.00535483        -1582.22         2.08375        0.742867       0.0218617         1.98669
         3.37327         2682.04        -15.5668       -0.972546         3.05818       0.0234317     -0.00575423        -1579.09         2.42469        0.747926       0.0229372         1.98209
         3.37385         2678.68        -16.0817       -0.731499         3.05678       0.0217435     -0.00613939        -1576.03         2.75408        0.745241       0.0133907         1.97743
         3.37443         2675.35        -16.4706       -0.486173         3.05537       0.0199249     -0.00650709        -1573.05         3.04904         0.73826       0.0113153         1.97272
         3.37501         2672.07        -16.7145       -0.243783         3.05395       0.0180008     -0.00685335        -1570.16         3.28566        0.732934       0.0242189         1.96796
         3.37559         2668.85        -16.8218     -0.00499581         3.05252       0.0159907     -0.00717464        -1567.32         3.50299        0.721446       0.0240387         1.96316
         3.37617         2665.68         -16.798        0.229382         3.05109        0.013917     -0.00746541        -1564.58         3.63467        0.718673       0.0238928         1.95912
