            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
         1.66954         1272.88       -0.271977      -0.0128561         3.43988     0.000591256     -0.00162816        -833.537       -0.306156      0.00336793       0.0171032         1.75693
         1.67012         1273.28        -0.27942      -0.0104173         3.43944     0.000579433     -0.00163866        -833.721       -0.313802      0.00487218       0.0253046         1.75583
          1.6707         1273.43       -0.285657      -0.0080319         3.43856     0.000567472     -0.00164706        -833.833        -0.31656      0.00677261       0.0214687         1.75525
         1.67128         1273.46       -0.291284     -0.00557701         3.43755     0.000555224     -0.00165349        -833.909       -0.318065      0.00871667        0.016313         1.75503
         1.67186         1273.45       -0.297021       -0.002984         3.43651     0.000542449      -0.0016583        -833.965       -0.319464       0.0106559       0.0130255         1.75498
         1.67244         1273.44       -0.302245     -0.00035205         3.43546     0.000529012     -0.00166154        -834.019       -0.319938        0.012615       0.0131993         1.75499
         1.67302         1273.42       -0.307074      0.00231385         3.43444     0.000515032     -0.00166342        -834.059       -0.320334       0.0145739       0.0164962         1.75525
          1.6736         1273.38       -0.311581      0.00500089         3.43345     0.000500509     -0.00166423        -834.089       -0.320362       0.0165365       0.0192727         1.75586
         1.67418         1273.33       -0.316055      0.00775506         3.43249     0.000485506     -0.00166369        -834.105       -0.320108       0.0184894       0.0213951         1.75668
         1.67475         1273.26       -0.320036        0.010513         3.43157     0.000470151     -0.00166173        -834.112       -0.318746       0.0204398       0.0218149         1.75754
         1.67533         1273.19       -0.323823       0.0133392         3.43069     0.000454371     -0.00165848        -834.115       -0.317569        0.022345       0.0205398         1.75843
         1.67591         1273.11       -0.327401       0.0161754         3.42985     0.000438081     -0.00165404        -834.109       -0.316436       0.0242252       0.0194944         1.75933
         1.67649         1273.01       -0.330766        0.019035         3.42904      0.00042128     -0.00164846         -834.09       -0.314052       0.0260801       0.0187094         1.76016
         1.67707         1272.91       -0.333654       0.0219123         3.42825     0.000404082     -0.00164184        -834.063       -0.311034       0.0278925       0.0182062         1.76088
         1.67765          1272.8       -0.336532       0.0248517          3.4275     0.000386505     -0.00163406        -834.028        -0.30736       0.0296348       0.0179878         1.76149
         1.67823         1272.69       -0.339093       0.0277673         3.42677     0.000368701     -0.00162516        -833.985       -0.303715       0.0313226       0.0180228         1.76201
         1.67881         1272.57       -0.341249       0.0306708         3.42606     0.000350731     -0.00161533        -833.945       -0.300341       0.0329714       0.0182619          1.7625
         1.67939         1272.44       -0.343187       0.0335576         3.42536      0.00033266     -0.00160461        -833.892       -0.296675        0.034557         0.01865         1.76302
         1.67997         1272.31       -0.345031       0.0364552         3.42469     0.000314459     -0.00159296        -833.836       -0.292931       0.0360887        0.019134         1.76363
         1.68055         1272.17       -0.346636       0.0393579         3.42403     0.000296158     -0.00158037        -833.777       -0.289156       0.0375606       0.0196803         1.76437
