            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          3.3385         2915.28         15.4237         3.92395         1.19185       -0.220916       0.0636802        -1592.64        -22.1751        -2.49824       0.0146879         1.82947
         3.33908         2914.26         15.5207         3.76516          1.1875       -0.217814       0.0577672         -1587.3        -21.9644        -2.39801       0.0122131         1.82939
         3.33966         2912.84         15.4652         3.57876         1.18262       -0.214072       0.0519073        -1581.91         -21.839        -2.29141       0.0150821         1.82817
         3.34024         2911.47         15.2616         3.36341         1.17749       -0.209263       0.0460805        -1576.52        -21.6924        -2.18183      0.00944829         1.82717
         3.34082         2909.88         14.9068         3.12162          1.1723       -0.203435       0.0402131        -1571.15        -21.3708        -2.06304       0.0140832         1.82762
          3.3414         2908.18         14.4019         2.87246         1.16668       -0.197225       0.0345452         -1565.8        -20.4661        -1.93513       0.0202669         1.82828
         3.34198         2906.33         13.7515         2.61332         1.16022       -0.190338       0.0291141        -1560.49        -18.7458        -1.80895       0.0205875         1.82888
         3.34256         2904.35         12.9509         2.34579         1.15312        -0.18342       0.0237989        -1555.15        -16.5609         -1.6939       0.0182995         1.82911
         3.34314         2902.25         12.0606         2.08928         1.14605       -0.176952        0.018881        -1549.84        -14.1448        -1.59053       0.0170458         1.82913
         3.34371         2900.11         11.0521         1.83142         1.14014       -0.170922       0.0144172        -1544.62        -11.9606        -1.50838       0.0127754         1.82884
         3.34429         2897.87         9.93812         1.56312         1.13559        -0.16572       0.0100525        -1539.38        -10.3207         -1.4286      0.00944137          1.8282
         3.34487         2895.62          8.7353         1.30759         1.13231       -0.161408      0.00589277        -1534.26        -9.36725        -1.34364       0.0125896         1.82717
         3.34545         2893.28         7.45663         1.06171         1.12941        -0.15714      0.00187331        -1529.17        -8.61358        -1.25744       0.0148278         1.82728
         3.34603         2890.84          6.0773         0.81315         1.12687       -0.152983     -0.00224242        -1524.15        -8.03673        -1.16855       0.0142415         1.82725
         3.34661          2888.3         4.61648        0.585123         1.12525       -0.149338     -0.00649422        -1519.15          -7.314        -1.08201      0.00623912         1.82681
         3.34719         2885.72         3.10486        0.385624         1.12456       -0.145949      -0.0108004        -1514.18        -6.20306        -1.00836       0.0153189         1.82602
         3.34777         2883.14         1.55371        0.199633         1.12436       -0.142862      -0.0151941        -1509.17        -4.83805       -0.949509       0.0191368         1.82479
         3.34835         2880.62     -0.00342978       0.0325701         1.12432       -0.139971      -0.0198701        -1504.09         -3.7181       -0.890845       0.0158393          1.8231
         3.34893         2878.44        -1.54269       -0.101083         1.12422       -0.136967       -0.024723        -1499.03        -2.91403       -0.825343       0.0139973         1.82087
         3.34951         2876.44        -3.06078       -0.221127         1.12393       -0.133569      -0.0297681        -1493.97        -2.19837       -0.762976       0.0149779         1.81809
         3.35009          2874.5        -4.55673       -0.328233          1.1234       -0.130461      -0.0349706        -1488.87        -1.74631       -0.687836       0.0173228         1.81467
         3.35067         2872.74        -6.00281       -0.404116         1.12235       -0.127733      -0.0401367        -1483.76        -1.33556       -0.612998       0.0210038         1.81041
         3.35125         2870.95        -7.37815       -0.464153         1.12086        -0.12511       -0.045256         -1478.7       -0.742207        -0.55378       0.0144981         1.80514
         3.35183         2869.06        -8.65128       -0.513274         1.11908       -0.122884      -0.0503917        -1473.65        0.168098       -0.522249       0.0106024         1.79853
         3.35241         2867.05        -9.81651       -0.540936         1.11687       -0.120593      -0.0554631        -1468.61         1.44449       -0.523918        0.016144         1.79073
         3.35299         2865.13         -10.849       -0.542935         1.11464       -0.118303      -0.0602396        -1463.63         2.98597       -0.559456        0.019797         1.78251
         3.35357         2863.13        -11.7488       -0.539428         1.11243        -0.11602      -0.0648379        -1458.69         4.91146       -0.642699      0.00841527         1.77586
         3.35415         2860.92        -12.4864       -0.523414         1.11008       -0.113506      -0.0693116        -1453.79         7.01515       -0.763771        0.014074         1.77108
         3.35473          2858.6        -13.0616       -0.487997         1.10855       -0.110643      -0.0737708        -1448.98         8.68212       -0.866397       0.0157708         1.76578
          3.3553         2856.14        -13.4649       -0.440922         1.10798         -0.1077      -0.0781126        -1444.32         9.85325       -0.938522       0.0156739         1.75988
         3.35588         2853.27         -13.698       -0.394937         1.10754       -0.104945      -0.0823479        -1439.71         11.0056        -1.02675      0.00760989         1.75322
         3.35646         2850.16        -13.7727       -0.338715          1.1072       -0.102593      -0.0864375         -1435.2         11.4904        -1.05574       0.0185035         1.75019
         3.35704         2846.95        -13.7055       -0.270081         1.10762       -0.101161      -0.0901188        -1430.77         11.3425        -1.02109       0.0157203         1.74804
         3.35762         2843.63        -13.4961       -0.201528         1.10821       -0.100589      -0.0934852        -1426.37         11.4313        -1.01946       0.0103836         1.74551
          3.3582         2840.35        -13.1481       -0.127178         1.10864       -0.100224      -0.0967497        -1422.04         11.3877         -1.0078       0.0150733         1.74255
         3.35878         2837.19        -12.6701      -0.0509186         1.10964      -0.0996877       -0.100062        -1417.77         10.9793       -0.956476      0.00846203         1.73919
         3.35936            2834        -12.0928        0.028782         1.11083      -0.0991729       -0.103295        -1413.61         10.9035       -0.951802       0.0137869         1.73541
         3.35994         2830.71        -11.4339        0.122795         1.11169      -0.0985167       -0.106382        -1409.58         11.0204       -0.980946       0.0138832         1.73255
         3.36052         2827.17        -10.6863        0.220649         1.11194      -0.0974823       -0.109272        -1405.68         10.9498       -0.997116       0.0144479         1.72998
          3.3611         2823.17        -9.87819        0.308584         1.11193      -0.0961631       -0.111991        -1401.91         11.0494        -1.04812      0.00978774         1.73332
         3.36168         2818.72        -9.02104        0.391257         1.11198      -0.0948135       -0.114536        -1398.26         10.9734         -1.0808      0.00790845         1.73688
         3.36226         2813.84        -8.14565        0.463174         1.11235      -0.0934756       -0.116947        -1394.73         10.7434        -1.09504      0.00975952          1.7404
         3.36284         2808.54        -7.25667        0.516137         1.11326      -0.0922856        -0.11922        -1391.26         10.8826        -1.16367       0.0130803         1.74387
         3.36342         2802.94        -6.35934        0.563862         1.11397      -0.0914698       -0.121395        -1387.74         11.9485        -1.36795       0.0123057         1.74726
           3.364         2797.05        -5.43542        0.622593         1.11431      -0.0901625       -0.123396        -1384.09         15.8944        -2.04697      0.00491682         1.75057
         3.36458         2791.11        -4.46811        0.682062         1.11441      -0.0878743       -0.125216        -1380.27         22.7814        -3.25642      0.00823005         1.75385
         3.36516         2785.86        -3.49925        0.727304         1.11436      -0.0851573       -0.126848        -1376.39          28.341        -4.30824       0.0118997         1.75711
         3.36574         2781.29        -2.54746        0.751271         1.11467      -0.0825117       -0.127901        -1372.54         31.5724         -5.0093       0.0122315         1.76036
         3.36632         2777.05        -1.61502        0.755425         1.11579      -0.0797021       -0.128486         -1368.7          34.001        -5.59768       0.0126307         1.76342
         3.36689         2772.88        -0.70412        0.733086         1.11739      -0.0766497       -0.128745        -1364.83         35.7279        -6.07255       0.0130221         1.76646
         3.36747         2768.74         0.19054         0.69112         1.11869      -0.0733645       -0.128725        -1360.98         37.0148         -6.4826       0.0133613         1.76944
         3.36805         2764.72         1.05953        0.627132         1.11965      -0.0700223       -0.128608        -1357.17         37.2052        -6.69477       0.0136208         1.77229
         3.36863         2760.78         1.88457        0.538904         1.12026      -0.0669768       -0.128552        -1353.39         35.9942        -6.63754       0.0138107         1.77524
         3.36921          2756.8         2.64861        0.445542          1.1208      -0.0640427       -0.128901        -1349.69         33.6893        -6.34911       0.0139328         1.77807
         3.36979         2752.66         3.35566        0.351459         1.12179       -0.060969        -0.12958        -1346.09         30.6535        -5.89256        0.014001          1.7808
         3.37037         2748.39         3.98642        0.259616         1.12362      -0.0579692       -0.130377         -1342.6         26.8385        -5.25037       0.0140302         1.78339
         3.37095         2744.01          4.5336        0.181872         1.12635      -0.0550704       -0.131362        -1339.13         21.8531        -4.32184       0.0140331         1.78589
         3.37153         2739.57         4.99923        0.113472         1.12935       -0.051985       -0.132775        -1335.74         17.3636        -3.46022       0.0140402         1.78828
         3.37211         2735.42         5.39158       0.0690632         1.13216       -0.048692       -0.134486        -1332.46         14.3263        -2.88923       0.0140829         1.79059
         3.37269         2731.42         5.70463       0.0479584         1.13437      -0.0452061       -0.136379         -1329.3         11.5801        -2.36159       0.0141883         1.79296
         3.37327         2727.47         5.93493       0.0333902         1.13574      -0.0418795       -0.138477        -1326.26         9.22423        -1.90797       0.0143812         1.79504
         3.37385         2723.56         6.06815        0.019887         1.13614      -0.0387618       -0.140602        -1323.34         7.10576        -1.49658         0.01468         1.79702
         3.37443         2719.48          6.1032      0.00095215         1.13554      -0.0356154       -0.142694        -1320.49         4.75484        -1.00702       0.0106656         1.79954
         3.37501         2715.51          6.0149      -0.0167823         1.13417      -0.0323161       -0.144872        -1317.73          4.1759       -0.924907        0.015607         1.80308
         3.37559         2711.82          5.8308      -0.0349782          1.1322      -0.0286831       -0.147306        -1315.16         6.51738         -1.5682       0.0116449         1.80657
         3.37617         2708.19         5.55677      -0.0500772         1.12972        -0.02456        -0.14986        -1312.68         11.1073        -2.80722      0.00949533          1.8099
         3.37675         2704.45         5.22616      -0.0561992         1.12706      -0.0198996       -0.152612        -1310.25         17.7451        -4.62961       0.0151273         1.81313
         3.37733         2700.82         4.82971      -0.0650051         1.12437      -0.0152347       -0.154943        -1307.89         24.6919        -6.60179       0.0139609         1.81627
         3.37791         2697.76         4.34083       -0.101258         1.12227      -0.0112548        -0.15631        -1305.67         28.7241        -7.84563       0.0127128          1.8193
         3.37848         2695.06         3.76568       -0.139055         1.12083     -0.00786063       -0.156893        -1303.55         30.9697        -8.63211       0.0113812         1.82227
         3.37906         2692.47         3.13328       -0.179204         1.11986     -0.00455895       -0.157161        -1301.53         32.6726        -9.28698      0.00997093         1.82508
         3.37964          2690.2         2.43546       -0.234159         1.11897     -0.00118411        -0.15744        -1299.61         32.9142        -9.53894      0.00852916         1.82778
         3.38022         2688.14         1.67533       -0.277809         1.11812      0.00235005       -0.158064        -1297.78          31.912        -9.43235      0.00719977          1.8304
          3.3808         2686.32        0.856529       -0.301606         1.11753      0.00624654       -0.158842        -1296.13         29.7779        -8.98372      0.00650866         1.83294
         3.38138         2684.44     -0.00614332       -0.302233         1.11728       0.0100945       -0.159745        -1294.62         26.8699        -8.27736      0.00690261         1.83543
         3.38196         2682.36       -0.920618       -0.265811          1.1171       0.0134988       -0.160788        -1293.25         23.5409        -7.41088      0.00782558         1.83794
         3.38254          2680.2         -1.8618       -0.183503         1.11739       0.0164333       -0.161764        -1292.08         19.7971        -6.38758      0.00875174         1.84045
         3.38312          2678.1        -2.81633      -0.0602793         1.11793       0.0190076       -0.162697        -1291.12          15.667        -5.20929      0.00954662         1.84295
          3.3837          2675.8        -3.79566       0.0938373         1.11786       0.0206838       -0.163437        -1290.25         10.7874        -3.75452       0.0102028         1.84547
         3.38428         2673.03        -4.82125        0.276157         1.11727        0.021133       -0.163723        -1289.37         4.11142        -1.67427       0.0101804         1.84801
         3.38486         2670.16        -5.88045        0.485496         1.11624       0.0204947       -0.163782        -1288.47        -2.29894         0.38956       0.0111305         1.85053
         3.38544         2668.05        -6.93781        0.730858         1.11524        0.019778        -0.16414        -1287.74         -4.7786         1.22188        0.011421         1.85307
         3.38602         2666.33        -7.98377          1.0131         1.11419       0.0194152       -0.164841        -1287.18        -4.92772          1.2928       0.0104383         1.85561
          3.3866         2664.72        -9.01249         1.32037         1.11262       0.0192021       -0.165818        -1286.69        -4.34833         1.11706       0.0117204         1.85814
