            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
         5.00746         1267.66           10.58        0.363028         1.58098       0.0976856    -0.000412435        -833.585         8.39353      -0.0348252       0.0124198         1.88378
         5.00804         1267.75         10.6467         0.30434         1.58262        0.098917    -0.000611471        -833.612         8.43927      -0.0803344       0.0102825         1.88393
         5.00862         1267.76         10.7013        0.245013         1.58463        0.100718     -0.00088017        -833.661         8.45401       -0.127721        0.011161         1.88407
          5.0092         1267.73         10.7495        0.184567         1.58639        0.102874     -0.00126861        -833.691         8.43961       -0.174974      0.00804496         1.88495
         5.00978         1267.69         10.7861        0.124095         1.58789        0.105473     -0.00175993        -833.682         8.41952        -0.22241       0.0100165         1.88571
         5.01036         1267.65         10.8216       0.0632906         1.58886         0.10792     -0.00226216        -833.712         8.38124       -0.269343       0.0083465         1.88582
         5.01094         1267.62         10.8536      0.00203105         1.58933        0.110198     -0.00276699        -833.734         8.35572       -0.316357       0.0103368         1.88605
         5.01152         1267.57         10.8734      -0.0594287         1.58942        0.112242     -0.00329659        -833.743         8.32922       -0.362843      0.00917606         1.88639
          5.0121         1267.53         10.8853       -0.120861         1.58945        0.114121     -0.00390085        -833.777         8.30376       -0.408029      0.00837375         1.88663
         5.01268          1267.5         10.8929       -0.182614         1.58932        0.115622     -0.00459764          -833.8         8.27118       -0.451778      0.00903786         1.88675
         5.01325         1267.47         10.8923       -0.244042         1.58872        0.116529     -0.00536407        -833.815         8.26565       -0.495172       0.0108413         1.88689
         5.01383         1267.45         10.8827       -0.304632          1.5878        0.116528     -0.00610697        -833.855         8.27635       -0.537381       0.0117021         1.88704
         5.01441         1267.42         10.8702       -0.365564         1.58674        0.116299     -0.00681527        -833.869         8.28527       -0.579124       0.0114968         1.88745
         5.01499         1267.41         10.8475       -0.426188         1.58545        0.115975     -0.00748394        -833.896         8.29949       -0.620403        0.006653         1.88779
         5.01557         1267.39         10.8156        -0.48624         1.58382        0.115448     -0.00807102        -833.935         8.27579       -0.660746      0.00706406         1.88821
         5.01615         1267.37         10.7821       -0.545739         1.58202        0.114612     -0.00854311        -833.993         8.25522       -0.700995      0.00740316         1.88928
         5.01673         1267.38         10.7385       -0.604661         1.58047        0.113983     -0.00902798        -834.031         8.21617       -0.741187      0.00620633         1.89065
         5.01731         1267.36         10.6889       -0.662752         1.57903        0.113463     -0.00947628        -834.063         8.14208       -0.779234      0.00691862         1.89194
         5.01789         1267.38         10.6284       -0.719206         1.57768        0.112401     -0.00984316        -834.113         8.06069       -0.815784      0.00708458         1.89138
         5.01847         1267.39         10.5661       -0.774676         1.57676        0.110911      -0.0101548        -834.163         7.97711       -0.852032      0.00719259         1.89265
         5.01905         1267.42         10.4958       -0.828217         1.57596        0.109658      -0.0104579        -834.215         7.90084        -0.88757      0.00645098         1.89325
         5.01963         1267.44          10.427       -0.880777         1.57522        0.108848      -0.0107048        -834.249         7.81248       -0.921323       0.0115622           1.893
         5.02021         1267.43         10.3436       -0.932037         1.57489        0.107702      -0.0107292        -834.317         7.70601       -0.951801       0.0117759         1.89415
         5.02079         1267.47         10.2548       -0.982158         1.57512        0.106514      -0.0106563        -834.353         7.60672       -0.979992       0.0172904         1.89282
         5.02137         1267.51         10.1608        -1.03125          1.5757        0.105208       -0.010549          -834.4         7.53009        -1.00957       0.0123039         1.89065
         5.02195         1267.55         10.0562        -1.07819         1.57646        0.102961      -0.0104117        -834.459         7.46088        -1.03963       0.0120748         1.89046
         5.02253         1267.57         9.95034        -1.12394         1.57756       0.0999406      -0.0103368        -834.508         7.38602        -1.06616      0.00668879         1.89301
         5.02311         1267.61          9.8392        -1.16778         1.57872       0.0964765      -0.0102767         -834.56         7.29761        -1.09083      0.00347509         1.89806
         5.02369         1267.64         9.71633        -1.20882         1.57951       0.0923315      -0.0101023        -834.603         7.23431        -1.11507         0.01132         1.90499
         5.02427         1267.67         9.59355        -1.24768         1.57999       0.0879912     -0.00989939         -834.66         7.16398        -1.13772      0.00753619         1.91144
         5.02484         1267.68         9.46685        -1.28468         1.58048       0.0831621     -0.00965068        -834.695         7.11936        -1.16101       0.0100494          1.9133
         5.02542         1267.71         9.33438        -1.31947         1.58124       0.0774462     -0.00935628        -834.758         7.08467         -1.1826       0.0122789         1.90991
           5.026         1267.74         9.19806        -1.35224          1.5822       0.0712575     -0.00900907        -834.786          7.0316        -1.20117      0.00794178         1.90378
         5.02658         1267.75         9.05612        -1.38294         1.58307        0.065219     -0.00867324        -834.832         6.96369        -1.21685       0.0113018         1.89957
         5.02716         1267.79         8.90977        -1.41186         1.58372       0.0600299     -0.00844605        -834.873         6.91015        -1.23464      0.00880599         1.90067
         5.02774         1267.81         8.75733        -1.43786         1.58407       0.0555068     -0.00820738        -834.905         6.83586        -1.24906       0.0107114         1.90257
         5.02832         1267.82         8.59857        -1.46096         1.58396       0.0516849     -0.00794306        -834.943         6.73914        -1.25926      0.00670185         1.90612
          5.0289         1267.86         8.43886        -1.48295         1.58363       0.0485189     -0.00768507        -834.991          6.6634        -1.27131      0.00881363         1.90964
         5.02948         1267.88         8.27219        -1.50487         1.58367       0.0452228     -0.00735012        -835.023         6.60296        -1.28541       0.0104608         1.91128
         5.03006         1267.89         8.10611        -1.52621         1.58377       0.0413108     -0.00692103        -835.037         6.50478        -1.29254      0.00886784         1.91075
         5.03064          1267.9         7.92782        -1.54325         1.58369       0.0369885     -0.00638832        -835.078          6.4066        -1.29672       0.0102719         1.90815
         5.03122          1267.9         7.75095        -1.55865         1.58343       0.0318456     -0.00565138        -835.091         6.31438        -1.30078      0.00775287         1.90455
          5.0318         1267.89         7.56712        -1.57149         1.58293       0.0256888     -0.00473817        -835.116         6.22477        -1.30446       0.0117984         1.90061
         5.03238         1267.87         7.37996        -1.58108         1.58227       0.0189193     -0.00374614        -835.154         6.13588        -1.30795       0.0112877         1.89668
         5.03296         1267.85         7.19133        -1.58879         1.58172       0.0122792     -0.00267368        -835.182         6.04594        -1.30976      0.00938537         1.89313
         5.03354         1267.86         6.99994        -1.59498         1.58129      0.00613575      -0.0016237        -835.209          5.9713        -1.31264       0.0106183         1.88936
         5.03412         1267.84         6.80826        -1.60129         1.58093     0.000738743     -0.00074691        -835.237         5.89663        -1.31442      0.00763194         1.88252
          5.0347         1267.85         6.61067        -1.60271         1.58036     -0.00368584    -0.000158445        -835.269         5.86989        -1.32458      0.00936845         1.89382
         5.03528         1267.88          6.4133        -1.60182         1.57946     -0.00700488     0.000156034          -835.3         5.83258        -1.33262      0.00645564         1.89782
         5.03586         1267.91         6.21377        -1.59864         1.57868     -0.00942662     0.000296613        -835.347         5.80262        -1.34176       0.0040828          1.9017
         5.03643         1267.95          6.0135        -1.59416         1.57869      -0.0112685     0.000341913        -835.401         5.75744        -1.34947      0.00398991         1.90698
         5.03701            1268         5.81043        -1.58784         1.57949      -0.0120369     5.47657e-05        -835.422           5.689        -1.35453      0.00482649         1.90997
         5.03759         1268.07         5.60149        -1.57923         1.58041      -0.0117941    -0.000589848        -835.441         5.59222        -1.35545      0.00752871         1.91069
         5.03817         1268.13         5.38992        -1.56858          1.5811      -0.0108431     -0.00143389        -835.512         5.48024        -1.35271      0.00938361         1.91109
         5.03875         1268.21         5.17375        -1.55448         1.58157     -0.00936509     -0.00230654        -835.549         5.34415         -1.3454      0.00645104         1.91147
         5.03933         1268.29          4.9634        -1.53981         1.58179     -0.00768726     -0.00309311        -835.588         5.20337         -1.3371      0.00895673         1.91161
         5.03991         1268.37          4.7471        -1.52167         1.58142     -0.00609742     -0.00380704        -835.651         5.06938        -1.33051      0.00806388         1.91015
         5.04049         1268.46         4.53715        -1.50219         1.58051     -0.00427437      -0.0046211        -835.698         4.92813        -1.31988       0.0068347          1.9068
         5.04107         1268.57         4.32097        -1.47852         1.57965     -0.00176055     -0.00567206        -835.777         4.79431        -1.30928      0.00918348          1.9023
         5.04165         1268.68         4.11273        -1.45386         1.57909     0.000706804     -0.00664148        -835.849         4.64315        -1.29227      0.00654531         1.89773
         5.04223         1268.78         3.90128        -1.42614         1.57883      0.00247019     -0.00737892        -835.887         4.49645        -1.27401      0.00402406         1.89382
         5.04281          1268.9         3.69194         -1.3961          1.5789       0.0032749     -0.00779637        -835.942         4.35726        -1.25548      0.00693577         1.88994
         5.04339            1269         3.48562        -1.36437         1.57933      0.00311286     -0.00782941        -835.997         4.22963        -1.23712      0.00406179         1.88621
         5.04397         1269.11         3.28079        -1.33135         1.58023      0.00221336     -0.00757736        -836.061         4.15541        -1.22966      0.00733262         1.88143
         5.04455          1269.2         3.07135        -1.29703         1.58164     0.000627855      -0.0072087         -836.11         4.07104        -1.21763      0.00600219         1.87925
         5.04513         1269.27          2.8663        -1.26095         1.58319     -0.00110818     -0.00686105        -836.161         3.92924        -1.18931       0.0101804         1.89517
         5.04571         1269.37         2.66331        -1.21978         1.58447     -0.00198462     -0.00667904        -836.189         3.82344        -1.16949      0.00748379         1.89968
         5.04629         1269.44         2.46174        -1.17678         1.58555      -0.0025275     -0.00646712        -836.241         3.73612         -1.1525       0.0064087         1.90544
         5.04687         1269.52         2.25677        -1.13091          1.5863     -0.00378848     -0.00592214        -836.282          3.6241        -1.13029      0.00742425         1.91352
         5.04745          1269.6         2.05423        -1.08378          1.5867     -0.00634864     -0.00491727        -836.335         3.49783        -1.10338      0.00692868         1.91656
         5.04802         1269.69         1.85742        -1.03652         1.58689     -0.00983601     -0.00366211        -836.386         3.34965        -1.07007       0.0093195         1.91446
          5.0486         1269.77         1.64836       -0.982858         1.58685       -0.013384     -0.00253497        -836.437         3.18894        -1.03275      0.00776343         1.91027
         5.04918         1269.86         1.45081       -0.930573         1.58664      -0.0167988     -0.00148253        -836.507         3.00819       -0.988119      0.00824113         1.90416
         5.04976         1269.97         1.24529       -0.872501         1.58623      -0.0202708    -0.000328533         -836.55         2.82558       -0.943569      0.00652714         1.89798
         5.05034         1270.08         1.04577       -0.814461         1.58563      -0.0232077      0.00063774        -836.649         2.62916       -0.894217      0.00628371         1.89211
         5.05092         1270.19        0.845878       -0.755089         1.58499      -0.0250116      0.00122242        -836.697         2.41329       -0.837978      0.00651186         1.88596
          5.0515         1270.28        0.642899       -0.691724         1.58451      -0.0251303       0.0012099        -836.781         2.20292         -0.7818      0.00823993         1.88127
         5.05208         1270.37        0.449213        -0.62995         1.58456      -0.0239621     0.000782682        -836.816         1.98666       -0.722379      0.00441553         1.88049
         5.05266         1270.44        0.245629       -0.561914         1.58471      -0.0224583     0.000253502        -836.901         1.76413       -0.660149       0.0058274         1.88352
         5.05324         1270.47       0.0447887       -0.492417          1.5849      -0.0210306    -0.000264955        -836.933         1.53004       -0.593055      0.00385992         1.88558
         5.05382         1270.49       -0.153979       -0.421872         1.58542      -0.0199135    -0.000649709         -836.99          1.2475        -0.50933      0.00876111         1.88629
          5.0544         1270.51       -0.360304       -0.345946         1.58614      -0.0188991    -0.000987637        -836.991        0.967248       -0.425078      0.00866295         1.88717
         5.05498         1270.52        -0.56176       -0.269755         1.58713      -0.0177515     -0.00140726         -837.03        0.691616       -0.339994      0.00700519         1.88719
         5.05556         1270.54       -0.759212       -0.193119         1.58857      -0.0168386     -0.00178168        -837.032        0.426299       -0.256285      0.00984782         1.88539
         5.05614         1270.53        -0.95841       -0.114147         1.59048      -0.0155047     -0.00244255        -837.047        0.163735       -0.170516       0.0116161         1.88206
         5.05672         1270.52        -1.15836      -0.0321055         1.59261      -0.0135877     -0.00334493        -837.019       -0.101393      -0.0799803       0.0117406           1.892
          5.0573         1270.52        -1.35262       0.0500907         1.59468      -0.0119977      -0.0040515        -837.026       -0.360051       0.0113484       0.0139055         1.89977
         5.05788         1270.53        -1.55228        0.136492         1.59632      -0.0108901      -0.0045903            -837       -0.606962         0.10136       0.0130316          1.9059
         5.05846         1270.52        -1.73622        0.218918         1.59736     -0.00999891     -0.00502173        -836.999       -0.854206         0.19498      0.00473929         1.91143
         5.05904         1270.53        -1.92529        0.305176         1.59809      -0.0089027     -0.00539327        -836.989        -1.09024        0.288124      0.00645678         1.91284
         5.05961         1270.51        -2.11028        0.392945         1.59858     -0.00751021     -0.00573739        -837.009        -1.32463        0.384094      0.00790577         1.91031
         5.06019         1270.52        -2.29014        0.480947         1.59883     -0.00670372     -0.00577957        -836.938        -1.54696        0.477898      0.00432353         1.90596
         5.06077         1270.52        -2.46527        0.569057         1.59903     -0.00672724     -0.00559503        -836.978        -1.76447        0.570803       0.0111508         1.90054
         5.06135         1270.51        -2.63578        0.657126         1.59924      -0.0062875     -0.00581271        -836.929        -1.98162        0.666635      0.00502264         1.89513
         5.06193          1270.5        -2.80785        0.748105         1.59925      -0.0050053     -0.00634573        -836.903        -2.20405        0.767636      0.00390967         1.89032
         5.06251         1270.49        -2.97706        0.839964         1.59922     -0.00353071     -0.00674466         -836.88        -2.41611        0.868676      0.00805793         1.88606
         5.06309         1270.49        -3.13625        0.930404         1.59912     -0.00207312     -0.00703012        -836.863        -2.61132         0.96582      0.00641329         1.88217
         5.06367          1270.5        -3.29776         1.02315         1.59888    -0.000532851     -0.00737671        -836.832        -2.75605         1.04608      0.00825143         1.89247
