            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
         5.00746         2511.49        -2.82967         2.57765         1.02752      -0.0391797      -0.0118486        -1182.98         4.44713      0.00621046         0.01074         1.74374
         5.00804         2510.36        -2.57292         2.59045         1.02658      -0.0349753      -0.0103756        -1181.16         2.84993      -0.0336027       0.0130832         1.74087
         5.00862         2509.06        -2.31006         2.59832         1.02433      -0.0304242     -0.00861317         -1179.3         2.37737       -0.038323       0.0212504         1.74175
          5.0092         2507.71        -2.03965         2.59522          1.0203      -0.0258983      -0.0068289        -1177.35          3.8407      0.00197268        0.015415         1.74311
         5.00978         2506.74        -1.75831         2.59162          1.0143       -0.021805     -0.00503841        -1175.29         6.53668       0.0359714       0.0163726         1.74467
         5.01036         2506.03         -1.4624          2.5794         1.00629      -0.0184792     -0.00322732        -1173.23         8.93464       0.0446759       0.0131295         1.74662
         5.01094         2505.52        -1.15668         2.56316        0.997519      -0.0149565     -0.00140337        -1171.03          10.529       0.0228351       0.0260568         1.74887
         5.01152         2505.01       -0.825591         2.53243        0.989257      -0.0111942     0.000709171         -1168.7         11.3405      -0.0180306       0.0237263         1.75108
          5.0121         2504.25       -0.514046          2.5051        0.982122     -0.00807412      0.00340478        -1166.43         11.0505      -0.0515287       0.0164011         1.75299
         5.01268         2503.38       -0.191261         2.44705        0.975323     -0.00686019      0.00640558        -1164.18         10.0016      -0.0992039       0.0105355         1.75437
         5.01325         2501.77       0.0928071         2.40128        0.970508     -0.00737021      0.00949137        -1161.77         6.54776      -0.0865113        0.015071         1.75509
         5.01383            2500        0.409469         2.34962         0.96882     -0.00921264         0.01227         -1159.4         2.25866      -0.0623191       0.0163891           1.755
         5.01441         2498.14        0.697706         2.32125        0.969173      -0.0114116       0.0143029        -1156.96        -1.28792      0.00790106       0.0169809         1.75566
         5.01499         2496.83        0.979496         2.32637        0.970163      -0.0137314       0.0158862        -1154.48        -2.87128        0.066067       0.0128305         1.75665
         5.01557         2495.68         1.28368         2.34831        0.971551      -0.0168673       0.0171935        -1152.01        -3.16975        0.074134       0.0157996         1.75677
         5.01615         2494.19          1.5377         2.39357        0.971807      -0.0201321       0.0185661        -1149.27        -3.90349        0.133759       0.0150091         1.75551
         5.01673         2493.31         1.83864         2.44388          0.9709      -0.0237302       0.0200456        -1146.72        -4.13103        0.136306      0.00992768         1.75304
         5.01731         2491.72         2.11082         2.49007        0.969366      -0.0278051       0.0211991        -1143.88        -4.25525        0.147599      0.00975135         1.75027
         5.01789            2491         2.34183         2.53557        0.967534      -0.0311884       0.0220893        -1141.32        -4.28774        0.186415       0.0133453         1.74816
         5.01847         2490.02         2.64969         2.56894        0.965894      -0.0336124       0.0225267         -1138.7         -2.2085       0.0590402       0.0134121         1.74609
         5.01905         2488.71          2.8591         2.61223        0.964413       -0.035219       0.0233591        -1135.86       -0.470034     -0.00696879       0.0157398         1.74395
         5.01963         2488.32         3.11871         2.61688        0.964204      -0.0365074       0.0242264        -1133.45         2.37381       -0.179835       0.0134365         1.74253
         5.02021         2486.73         3.41307         2.60068        0.963556      -0.0369975        0.025633        -1130.56         6.18701       -0.477788       0.0112767          1.7403
         5.02079         2485.85         3.52843         2.54955        0.962426      -0.0353752       0.0272756         -1128.1         8.27913       -0.556115       0.0117399           1.736
         5.02137         2484.36         3.81496          2.4516        0.961294      -0.0327834       0.0290696        -1125.38         12.4774       -0.955317       0.0137693         1.73012
         5.02195         2482.71         3.97123         2.34124         0.95996       -0.030081        0.031417         -1122.5         14.1974        -1.10375       0.0186897         1.72295
         5.02253         2481.77         4.10507         2.19821        0.959918      -0.0267273       0.0341644        -1120.01         15.1533        -1.18678       0.0196824         1.71637
         5.02311         2479.94          4.4123         2.01091         0.95966       -0.024062       0.0377115        -1117.12         17.1678        -1.52562       0.0211139         1.71362
         5.02369         2478.77         4.39172          1.8259        0.960178      -0.0218119       0.0410076        -1114.73         14.1507        -1.17872       0.0215303         1.71452
