            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
       0.0005795           53647     -0.00318218     -0.00126269         38.7874    -0.000183709    -1.89834e-05        -8970.39      -0.0973686     -0.00468005        0.115785         2.70527
        0.001159        -16089.4      0.00280748     0.000441146         39.4014    -0.000124519    -1.26581e-05         2103.29       0.0378205    -2.02695e-05       0.0819047         2.04956
       0.0017385         582.634      0.00547592      0.00169675         28.8021     -9.5403e-05    -8.15104e-06        -1120.38        0.010762      0.00390937       0.0680832         2.10701
        0.002318         2033.75      -0.0110839     0.000700751         22.2086     -7.6735e-05    -3.88002e-06        -1632.98      -0.0968669     -0.00206005       0.0748576         1.82661
       0.0028975         2285.38      -0.0116934     3.66016e-05         18.0403    -6.32839e-05    -2.11132e-06        -1880.21      -0.0687365     -0.00227649       0.0812375         1.81229
        0.003477         2389.15     -0.00581359    -0.000108903         15.2506    -5.31168e-05    -2.47571e-06        -2048.38      -0.0140645    -0.000626622       0.0730088         1.77782
       0.0040565         2459.33      -0.0056774     -0.00066092         13.3008    -4.48158e-05    -2.41499e-06        -2176.65      -0.0381339    -0.000855293       0.0500235         1.78302
        0.004636         2516.28    -0.000990093     9.51213e-05         11.8808    -3.44459e-05    -2.26272e-07        -2278.45       0.0314936    -0.000805423        0.026202         1.82769
       0.0052155         2567.31     0.000704305    -0.000123066         10.7764    -2.32744e-05     1.98989e-06           -2363       0.0479332     -0.00103743       0.0456543         1.85368
        0.005795         2610.26      0.00235335     0.000371584         9.84984    -1.31042e-05     1.66349e-06        -2440.41       0.0606835     -0.00183463       0.0447616         1.87089
       0.0063745         2644.52      0.00201716     0.000807502         9.04738    -6.55669e-07     6.34799e-06        -2512.86       0.0659787     -0.00221738       0.0484345         1.89272
        0.006954         2672.41      0.00196764     0.000527365          8.3586     1.51175e-05     1.08274e-05        -2580.93       0.0636026      -0.0022063       0.0394705         1.91697
       0.0075335         2699.12      0.00259371     0.000534785         7.77714     3.05395e-05     8.33816e-06        -2645.64       0.0647679      -0.0024197       0.0289324         1.94281
        0.008113         2726.91      0.00253913    -4.30545e-05         7.28354     5.13856e-05     9.10924e-06        -2706.92       0.0668308      -0.0020594       0.0190014         1.96626
       0.0086925         2753.64      0.00130658      0.00014957         6.84954     7.13234e-05     7.50845e-06         -2764.9       0.0610867     -0.00297673       0.0272698         1.98962
        0.009272         2776.01      0.00153226    -0.000347017          6.4585     9.56642e-05     9.16063e-06        -2819.44       0.0381251     -0.00194087       0.0260571         2.01432
       0.0098515         2794.55      0.00156061    -0.000454568         6.11034     0.000116561     9.68718e-06        -2869.82       0.0523785      -0.0029571       0.0216725         2.03573
        0.010431         2811.78     0.000703401    -0.000192402         5.80952      0.00013741     1.07706e-05        -2916.81       0.0441687     -0.00325888       0.0215493         2.05311
       0.0110105         2829.85     0.000313583    -6.88762e-05         5.55274     0.000159778     1.32957e-05        -2961.37       0.0392214     -0.00353881       0.0229262         2.06712
         0.01159         2848.86    -0.000172371    -1.77498e-05         5.32835     0.000180776     1.42095e-05        -3004.13       0.0319919     -0.00339019       0.0205859         2.07862
       0.0121695         2867.11     -0.00161565     3.97279e-05         5.12594     0.000202558     1.46182e-05        -3045.19       0.0198886     -0.00354629       0.0304034         2.08833
        0.012749         2883.91    -0.000568719    -7.92101e-05         4.94211      0.00022447     1.50043e-05         -3084.4       0.0230315     -0.00300627       0.0427531         2.09678
       0.0133285         2900.29    -0.000724236    -0.000373892         4.77943     0.000244745     1.52767e-05        -3121.75       0.0172528     -0.00277389       0.0201577         2.10429
        0.013908         2917.41     0.000101022    -0.000713821          4.6391     0.000262684     1.56128e-05         -3157.7       0.0194808     -0.00259458       0.0381471         2.11108
       0.0144875         2935.78    -9.63946e-05     -0.00114886         4.51739     0.000277357     1.64527e-05        -3192.57       0.0167554     -0.00255829       0.0371551         2.11725
        0.015067         2954.61      0.00044866     -0.00128144          4.4085     0.000288667     1.75872e-05        -3226.41       0.0225579     -0.00255328        0.022354         2.12292
       0.0156465         2972.83    -0.000405633     -0.00128095         4.30871     0.000296867     1.94926e-05        -3259.13         0.02597     -0.00303093       0.0170351         2.12817
        0.016226          2990.2     -0.00215115     -0.00102512         4.21804     0.000300812     2.14111e-05        -3290.65       0.0125572      -0.0023053       0.0238768         2.13309
       0.0168055         3007.22     -0.00330259    -0.000649424         4.13803     0.000301266     2.38049e-05        -3321.05       0.0144272     -0.00294657       0.0197399         2.13771
        0.017385         3024.32     -0.00470365    -0.000214575         4.06835     0.000298323     2.65104e-05        -3350.49      0.00924696     -0.00293957       0.0247917         2.14206
       0.0179645         3041.42     -0.00537967     3.28906e-05         4.00641     0.000292339     2.96883e-05        -3379.02      0.00646754     -0.00290828       0.0337965         2.14611
        0.018544         3058.02     -0.00633439      0.00018931         3.94961     0.000283583     3.33734e-05        -3406.62      0.00468169      -0.0027852       0.0267462         2.14989
       0.0191235         3073.85     -0.00687772     0.000425482         3.89721     0.000271598     3.70915e-05        -3433.31     0.000119928     -0.00233347       0.0293208         2.15346
        0.019703         3089.15     -0.00772334      0.00060274         3.84996      0.00025833     4.14487e-05        -3459.09    -0.000461859     -0.00227354       0.0382614         2.15687
