            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          0.0004          301540          279422     1.06349e-13         273.034        -252.768    -8.84806e-07         -558339          603626          204634        0.234542         5.73305
          0.0008        -88409.6          -77403     -5.1504e-14         153.305         -143.39     1.46809e-06          155094         -176514        -61260.1        0.249378         4.23113
          0.0012        -5822.27        -1206.64    -1.71955e-14           126.9        -102.353    -6.43052e-07         2617.71        -11390.4         -4956.1        0.285747         3.54985
          0.0016         2461.65         6859.04    -1.25366e-14         110.022        -83.2351    -2.85286e-07        -13551.6          5143.3         990.229        0.154869         3.23708
           0.002         3286.58         7880.57    -1.12609e-14         97.7736        -70.2464    -2.54246e-08        -15620.7         6768.73          1688.2        0.219369         3.01841
          0.0024         3728.54         8554.21    -1.02828e-14         88.1281        -60.3074     2.05771e-09        -16987.8         7633.33         2138.02       0.0882525         2.83752
          0.0028         4069.59         9120.07    -9.40636e-15         80.1658        -52.3032     2.86987e-08        -18135.5         8299.51          2498.2       0.0954766         2.96004
          0.0032         4370.42         9632.32    -8.59626e-15         73.4082        -45.6081      5.2142e-08        -19173.4         8887.67         2816.42         0.13228         3.05451
          0.0036         4655.02         10113.4    -7.83271e-15          67.564        -39.8524     7.36496e-08          -20147         9445.16         3114.15        0.102326         3.11924
           0.004         4923.01         10565.4    -7.10342e-15         62.4062        -34.8007     3.61001e-08        -21061.2         9970.83         3391.19         0.10416         3.16016
          0.0044         5164.77         10980.9    -6.41136e-15         57.7846        -30.3102     6.30619e-08        -21901.2         10445.1         3638.48       0.0991058         3.18611
          0.0048         5372.04         11355.5    -5.75602e-15         53.5949        -26.2803     6.50226e-08        -22658.5         10851.2         3850.78        0.101496         3.20466
          0.0052         5534.07         11681.9    -5.12953e-15          49.769        -22.6367     1.10421e-07        -23318.5         11167.7         4021.59       0.0974363         3.22181
          0.0056         5651.17         11959.2    -4.53317e-15          46.281        -19.3319     1.12019e-07        -23879.6         11394.9         4150.29       0.0491611         3.24428
           0.006         5733.77           12195    -3.97875e-15         43.1506        -16.3334     1.21695e-07        -24357.3         11553.8         4244.58       0.0290292          3.2681
