            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          0.4004         22116.3         -1773.7     1.08935e-15         8.24341        -20.1826     8.38434e-05         3587.76         44248.9         12706.5       0.0536937         2.84132
          0.4008         22050.2        -1721.96      1.0797e-15         8.24865        -20.0454     8.39213e-05         3484.02         44116.6         12635.2       0.0686495         2.83069
          0.4012         21982.3        -1667.99     1.06977e-15         8.25347        -19.8926     8.39863e-05         3375.78         43980.9           12562       0.0600445         2.81944
          0.4016           21913        -1612.72     1.05966e-15         8.25847        -19.7269     8.40545e-05         3264.91         43842.3         12487.6       0.0515616         2.80774
           0.402         21842.4        -1556.56     1.04943e-15         8.26392        -19.5507     8.40917e-05         3152.24         43701.2         12412.2       0.0490389         2.79572
          0.4024         21770.8        -1499.72     1.03913e-15         8.26986         -19.366     8.41516e-05         3038.19           43558         12336.1       0.0553696         2.78346
          0.4028         21698.1        -1442.33     1.02879e-15         8.27623        -19.1744     8.41983e-05         2923.02         43412.5         12259.3       0.0492696         2.77103
          0.4032         21624.2        -1384.44     1.01846e-15         8.28297        -18.9768     8.42405e-05         2806.85         43264.8         12182.1        0.019611         2.75847
          0.4036           21549        -1326.09     1.00815e-15            8.29         -18.774     8.42467e-05         2689.74         43114.3         12104.3      0.00740744         2.74582
           0.404         21471.8        -1267.33     9.97873e-16         8.29718        -18.5665     8.42686e-05         2571.81         42960.1         12025.9        0.052526         2.73308
          0.4044         21392.7        -1208.17     9.87651e-16          8.3044        -18.3546     8.42823e-05         2453.07         42801.7         11946.8       0.0294332         2.72028
          0.4048         21310.9        -1148.64     9.77485e-16         8.31154        -18.1386     8.43147e-05         2333.58         42638.2         11866.8       0.0264377         2.70747
          0.4052         21226.5        -1088.74     9.67384e-16         8.31852        -17.9187     8.43158e-05         2213.33         42469.4         11786.2       0.0200538          2.6947
          0.4056         21138.9        -1028.45     9.57338e-16          8.3252        -17.6949      8.4345e-05          2092.3         42294.2         11704.5       0.0257812           2.682
           0.406           21048        -967.764     9.47351e-16         8.33149        -17.4669     8.43528e-05         1970.48         42112.4         11621.8       0.0431311         2.66939
          0.4064         20953.8        -906.665     9.37427e-16         8.33733        -17.2346     8.43731e-05         1847.81           41924         11538.2        0.035952         2.65688
          0.4068         20856.3        -845.122     9.27563e-16         8.34265        -16.9978     8.43764e-05         1724.25         41729.1         11453.8      0.00333853         2.64446
          0.4072         20755.5        -783.125     9.17764e-16         8.34739        -16.7562     8.43796e-05         1599.78         41527.4         11368.5       0.0258626         2.63212
          0.4076         20651.6        -720.644     9.08038e-16         8.35151        -16.5097     8.43629e-05         1474.32         41319.6         11282.5       0.0190738         2.61983
           0.408         20544.9        -657.645     8.98396e-16         8.35501        -16.2578      8.4362e-05         1347.82         41106.2           11196       0.0518332         2.60758
          0.4084         20435.4        -594.111     8.88837e-16         8.35792        -16.0004     8.43827e-05         1220.24         40887.3           11109       0.0622685         2.59537
          0.4088         20323.6        -529.965     8.79373e-16         8.36033        -15.7369     8.43969e-05         1091.42         40663.6         11021.8       0.0668956         2.58319
          0.4092         20209.2        -465.147     8.70005e-16         8.36233         -15.467     8.43679e-05         961.248           40435         10934.2       0.0256389         2.57102
          0.4096         20092.6        -399.558     8.60733e-16         8.36406        -15.1905     8.43884e-05         829.512         40201.8         10846.3       0.0139389         2.55887
            0.41         19973.5        -333.077     8.51552e-16         8.36566        -14.9067     8.44062e-05         695.983         39963.6           10758       0.0589478         2.54673
          0.4104         19851.8        -265.582      8.4246e-16         8.36729        -14.6155     8.43451e-05         560.412           39720         10669.2       0.0411365          2.5346
          0.4108           19727        -196.901     8.33441e-16         8.36909        -14.3161     8.43582e-05         422.452         39470.5         10579.5       0.0398936         2.52245
          0.4112         19599.1        -126.822     8.24484e-16          8.3713        -14.0082     8.43748e-05         281.678         39214.7         10488.9       0.0134709         2.51027
          0.4116         19467.4        -55.1526     8.15572e-16         8.37411        -13.6909     8.43583e-05         137.707         38951.3         10396.9       0.0208338         2.49809
           0.412           19332         18.3575     8.06697e-16         8.37778        -13.3637     8.43227e-05         -9.9691         38680.4         10303.5       0.0206611         2.48591
          0.4124         19192.6         93.9546     7.97847e-16         8.38262        -13.0255     8.43551e-05        -161.838         38401.8         10208.5       0.0504423         2.47374
          0.4128         19049.4         171.919     7.89007e-16         8.38899        -12.6755     8.43451e-05        -318.466         38115.3         10111.7       0.0581624         2.46161
          0.4132         18902.7         252.559     7.80161e-16         8.39734        -12.3128     8.43274e-05         -480.47           37822           10013       0.0403445          2.4495
          0.4136         18752.6         336.147     7.71289e-16         8.40805        -11.9363     8.43252e-05          -648.4         37521.7         9912.32       0.0441231         2.43741
           0.414         18599.4         422.971     7.62376e-16         8.42153        -11.5449     8.43428e-05         -822.83         37215.4         9809.61      0.00308787         2.42536
          0.4144         18443.6         513.286     7.53402e-16         8.43818        -11.1373     8.43242e-05        -1004.27         36903.8         9704.83       0.0509283         2.41335
          0.4148           18286         607.356     7.44349e-16         8.45841        -10.7124      8.4314e-05        -1193.26         36588.6         9598.16       0.0249842         2.40137
          0.4152         18127.3         705.388     7.35192e-16         8.48266        -10.2692     8.43012e-05        -1390.21         36271.5         9489.69       0.0393051         2.38943
          0.4156         17968.8         807.577     7.25906e-16         8.51138        -9.80644      8.4277e-05        -1595.51         35954.4         9379.66       0.0362608          2.3775
           0.416         17811.7         914.057     7.16464e-16         8.54505        -9.32315     8.42614e-05        -1809.44         35640.3         9268.41      0.00981859         2.36559
          0.4164         17657.4         1024.91     7.06836e-16         8.58416         -8.8184     8.42308e-05        -2032.15         35331.7         9156.28       0.0237333         2.35366
